% Model,AuNP-7-30nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:16"
% Dimension,3
% Nodes,36379
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-5.684341886080801E-14,-309.9124999999999,-309.9124999999999,6.121532814051926E-9
1.4210854715202007E-14,-309.9124999999999,-301.72109374999997,1.8801767360965304E-8
2.3536728122053322E-14,-301.7210937499999,-301.7210937499999,2.8556035306734687E-8
-3.819167204710538E-14,-301.7210937499999,-309.91249999999985,2.209563731155081E-8
3.2862601528904634E-14,-293.52968749999997,-301.7210937499999,4.4736765898981154E-8
-1.9539925233402755E-14,-293.5296874999999,-309.91249999999985,4.0107489305153847E-8
8.526512829121202E-14,-309.9124999999999,-293.52968749999997,3.204505048912325E-8
8.526512829121202E-14,-301.72109374999997,-293.52968749999997,3.92530122770124E-8
8.526512829121202E-14,-293.52968749999997,-293.52968749999997,5.443902789488763E-8
4.263256414560601E-14,-309.9124999999999,-285.33828124999997,4.3517170927155607E-8
4.3520742565306136E-14,-301.72109374999997,-285.33828124999997,5.116773542882904E-8
4.440892098500626E-14,-293.52968749999997,-285.33828124999997,6.910037573086352E-8
0,-309.9124999999999,-277.14687499999985,5.276250616752815E-8
1.7763568394002493E-15,-301.72109374999997,-277.14687499999985,6.275708797174463E-8
3.5527136788004986E-15,-293.52968749999997,-277.14687499999985,8.668018900389072E-8
4.6629367034256575E-14,-285.33828124999997,-301.7210937499999,6.363779037340595E-8
7.993605777301126E-15,-285.33828124999997,-309.91249999999985,5.816638468668328E-8
6.03961325396085E-14,-277.1468749999999,-301.72109374999997,8.440634927756048E-8
3.5527136788005E-14,-277.1468749999999,-309.9124999999999,7.679260036500424E-8
8.526512829121202E-14,-285.33828124999997,-293.52968749999997,7.618843554802416E-8
8.526512829121202E-14,-277.1468749999999,-293.52968749999997,1.0218908876706944E-7
8.526512829121202E-14,-309.9124999999999,-268.9554687499999,5.978145620218967E-8
8.615330671091215E-14,-301.72109374999997,-268.9554687499999,7.442905107309882E-8
8.704148513061227E-14,-293.52968749999997,-268.9554687499999,1.0811705398547901E-7
1.7053025658242404E-13,-309.9124999999999,-260.7640624999999,6.491586422058623E-8
1.7053025658242404E-13,-301.72109374999997,-260.7640624999999,8.700273275134568E-8
1.7053025658242404E-13,-293.52968749999997,-260.7640624999999,1.3437429728804073E-7
6.03961325396085E-14,-268.9554687499999,-301.72109374999997,1.0959062969972513E-7
3.5527136788005E-14,-268.9554687499999,-309.9124999999999,9.710145463314061E-8
6.03961325396085E-14,-260.76406249999997,-301.72109374999997,1.3943896678350033E-7
3.5527136788005E-14,-260.76406249999997,-309.9124999999999,1.2022002857777554E-7
8.526512829121202E-14,-268.9554687499999,-293.52968749999997,1.3749829884932454E-7
8.526512829121202E-14,-260.76406249999997,-293.52968749999997,1.8048057829097397E-7
4.529709940470639E-14,-285.33828124999997,-285.33828124999997,9.728565945201509E-8
4.618527782440651E-14,-277.1468749999999,-285.33828124999997,1.327739489487857E-7
5.32907051820075E-15,-285.33828124999997,-277.14687499999985,1.2433521769269447E-7
7.105427357601001E-15,-277.1468749999999,-277.14687499999985,1.7255448750693317E-7
1.2789769243681803E-13,-309.9124999999999,-252.57265624999994,6.830692598391592E-8
1.2612133559741778E-13,-301.72109374999997,-252.57265624999994,9.974834070468769E-8
1.2434497875801756E-13,-293.52968749999997,-252.57265624999994,1.6285465653535736E-7
