% Model,AuNP-7-30nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:23"
% Dimension,3
% Nodes,33519
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-4.466775307786349E-14,-244.72499999999994,-294.1312499999999,4.967770366557459E-7
-3.5568766339780184E-14,-310.59999999999997,-236.49062499999997,1.1049416554782458E-7
-3.391440511467413E-14,-302.36562499999997,-236.490625,2.041668172906363E-7
-3.226004388956807E-14,-294.1312499999999,-236.49062499999997,3.686354455684514E-7
-7.113753267956037E-14,-310.6,-228.25625000000002,1.0621023689719869E-7
-6.700162961679523E-14,-302.36562499999997,-228.25625000000002,2.3057168558893142E-7
-6.286572655403009E-14,-294.13125,-228.25625000000002,4.3444777794765364E-7
-5.004442705945817E-14,-236.49062499999997,-302.36562499999997,4.4322309518072694E-7
-5.6248281653605876E-14,-236.490625,-310.6,3.3774769568862023E-7
-4.2186211240204405E-14,-228.25625,-302.36562499999997,5.377696770888626E-7
-4.135903062765138E-14,-228.25625,-310.6,3.8966160631281044E-7
-4.384057246531046E-14,-236.49062499999997,-294.1312499999999,6.40123381833588E-7
-4.301339185275743E-14,-228.25624999999997,-294.1312499999999,8.043864540770098E-7
4.177262093392789E-14,-285.89687499999997,-252.95937499999994,4.03458929060709E-7
4.2186211240204405E-14,-277.6625,-252.95937499999988,5.884763085683991E-7
-1.6543612251060552E-15,-285.89687499999997,-244.72499999999988,5.012430901941298E-7
-1.6543612251060552E-15,-277.6624999999999,-244.72499999999988,7.41035639119538E-7
1.3648480107124955E-14,-269.42812499999997,-269.42812499999997,5.15525105550138E-7
1.4062070413401469E-14,-261.19374999999997,-269.42812499999997,7.134569573626297E-7
8.519960309296184E-14,-269.42812499999997,-261.1937499999999,6.73355069234663E-7
8.437242248040881E-14,-261.19374999999997,-261.1937499999999,9.413850310312052E-7
-4.839006583435211E-14,-252.959375,-285.89687499999997,5.397335099019986E-7
-4.79764755280756E-14,-244.725,-285.89687499999997,7.115351709735106E-7
-5.376673981594679E-14,-252.959375,-277.6625,7.323859577329304E-7
-5.128519797828771E-14,-244.725,-277.6625,9.767369087542436E-7
-4.2186211240204405E-14,-310.6,-220.021875,9.892958948305965E-8
-4.0118259708821836E-14,-302.36562499999997,-220.021875,2.448237290951925E-7
-3.8050308177439267E-14,-294.13124999999997,-220.021875,4.738367998556757E-7
-1.3234889800848441E-14,-310.59999999999997,-211.78749999999994,9.367395624828367E-8
-1.3234889800848441E-14,-302.36562499999997,-211.78749999999994,2.6945810477194627E-7
-1.3234889800848441E-14,-294.13124999999997,-211.78749999999994,5.339804781549123E-7
-3.060568266446202E-14,-285.89687499999997,-236.490625,5.914765045805849E-7
-2.895132143935596E-14,-277.66249999999997,-236.49062499999997,8.895450251917381E-7
-5.955700410381798E-14,-285.896875,-228.25625000000002,7.087970716012248E-7
-5.6248281653605876E-14,-277.6625,-228.25625000000002,1.0821100288428062E-6
-3.0192092358185504E-14,-220.02187499999994,-302.36562499999997,6.406018532074762E-7
-1.7370792863613578E-14,-220.02187499999994,-310.59999999999997,4.3519121208631935E-7
-1.8197973476166606E-14,-211.78749999999994,-302.3656249999999,7.466377131797242E-7
6.617444900424221E-15,-211.78749999999988,-310.5999999999999,4.664293917176114E-7
-4.301339185275743E-14,-220.02187499999997,-294.1312499999999,9.955502479999157E-7
