"Pol","ang","mu","BestRefIndex","BestRadius","Error"
"s Pol",64.9,5.78,1.3522842550411565,3.5109434785736675,0.3913344032602241
"s Pol",64.9,7.3,1.3469121925060334,3.5084529554795005,0.48411926947154166
"s Pol",72.9,5.78,-0.00010029456526301763,2.238252199187666,3.150878209341079
"s Pol",72.9,7.3,2.4880967157408826,3.501521449381984,2.5277984818669316e-8
