"Pol","ang","mu","BestRefIndex","Bestradius","Error"
"p Pol",64.9,5.78,1.7900882421113993,3.326762301858338,19.77603936260266
"p Pol",64.9,7.3,0.00032835394766215977,4.204153298195638,1.7916548382771151
"p Pol",72.9,5.78,1.3194100063631462,3.509971617706666,5.303483845974953e-7
"p Pol",72.9,7.3,1.318797513814169,3.5101846180131595,7.006193916811164e-7
