"Pol","ang","mu","Best RefIndex","Error"
"s Pol",64.9,5.78,1.349635212731925,0.5111071389639908
"s Pol",64.9,7.3,1.3407215912767452,0.6882360807237453
"s Pol",72.9,5.78,1.3894981497874532,2.721439710707526e-6
"s Pol",72.9,7.3,1.4910051106811069,13.053901627116128
