"Pol","ang","mu","Best RefIndex","Error"
"p Pol",64.9,5.78,2.4554627860821174,40.21132902198709
"p Pol",64.9,7.3,1.3445539129577937,0.7938189251098077
"p Pol",72.9,5.78,1.2965813424720822,9.268728278359966e-7
"p Pol",72.9,7.3,1.2947005491357066,1.1935416968525248e-6
