% Model,AuDimmer-7-30nm-06nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 15:09"
% Table,Table 2 - Global Evaluation 1
% wlength (nm),lambda0 (nm),C_abs (nm^2),C_sca (nm^2)
450,450,134.20485663751904,0.6818799184435653
460,460,133.1496351816505,0.6269556934114364
470,470,132.57338327934357,0.5769899846994363
480,480,135.6013835197518,0.5531854513765447
490,490,144.7931212954056,0.572296325327352
500,500,163.23404295980544,0.6701927057332177
509.99999999999994,509.99999999999994,193.16413770583534,0.8862191280054728
519.9999999999999,519.9999999999999,227.57687418754253,1.2047910071366876
520.25,520.25,228.3018430538911,1.2265104044823192
520.5,520.5,229.03262562494172,1.2351890146884978
520.75,520.75,229.76196920395157,1.2354191240432266
521,521,230.47762191715177,1.25402066741748
521.2499999999999,521.2499999999999,231.21320957557123,1.2588514710688554
521.4999999999999,521.4999999999999,231.9272973146557,1.2677899933807164
521.75,521.75,232.64224977027558,1.2660915156287986
522,522,233.3399885953009,1.303216661473134
522.25,522.25,234.05999003492187,1.2902680606155132
522.5,522.5,234.75323616375226,1.3018500407572617
522.7499999999999,522.7499999999999,235.45838617023463,1.320898216405668
523,523,236.1496844668457,1.324804566123434
523.25,523.25,236.6279679961622,1.328983231863811
523.5,523.5,237.08172081782473,1.3446850980699638
523.75,523.75,237.531677088832,1.3448756086297406
523.9999999999999,523.9999999999999,237.9790279408019,1.3516622994400245
524.2499999999999,524.2499999999999,238.4292531779767,1.3639451417986843
524.5,524.5,238.8454907967311,1.3739767848913012
524.75,524.75,239.27546223465473,1.3854554583995262
525,525,239.66941926756064,1.3900180858730145
525.25,525.25,240.0670344901822,1.4030218445063267
525.4999999999999,525.4999999999999,240.4882783816534,1.3957687920375301
525.75,525.75,240.86241188993176,1.4133147847245182
526,526,241.23813371384648,1.4036493131337853
526.25,526.25,241.62721478528928,1.4253435514241415
526.5,526.5,241.9615637014415,1.43682516242189
526.75,526.75,242.3031760810957,1.4454757538653398
526.9999999999999,526.9999999999999,242.64748727991125,1.43234357977667
527.25,527.25,243.01507075824918,1.4502085025673719
527.5,527.5,243.28944367837826,1.4596969022309574
527.75,527.75,243.5874117270803,1.4815148176154547
528,528,243.87963895561637,1.467756710648785
528.2499999999999,528.2499999999999,243.98581830043065,1.4855345180291022
528.4999999999999,528.4999999999999,244.07677800467368,1.5010317281331362
528.75,528.75,244.1505171769019,1.4886672277716466
529,529,244.21192612377274,1.5064794649165376
529.25,529.25,244.2499274221667,1.5018261518255738
529.5,529.5,244.270422316384,1.512826504434323
529.7499999999999,529.7499999999999,244.302340380295,1.5115601042588993
530,530,244.30461864754454,1.5263648381460964
530.25,530.25,244.34051046373955,1.5112286899955059
530.5,530.5,244.308116535557,1.528346030288683
530.75,530.75,244.2775327059819,1.5233451852914872
531,531,244.23278780844703,1.530084055023708
531.2499999999999,531.2499999999999,244.19681856825676,1.5393007860634964
531.5,531.5,244.11501144558164,1.5382310874456275
531.75,531.75,244.04019581783285,1.546222471670338
532,532,243.93862809235608,1.5544843191880189
532.25,532.25,243.84035808864232,1.5554311671223915
532.4999999999999,532.4999999999999,243.71743986838175,1.5553142279161891
532.7499999999999,532.7499999999999,243.58728460375718,1.563625091656581
533,533,243.44411461630213,1.5539344846846932
533.25,533.25,243.1392312927594,1.5838664776984366
533.5,533.5,242.85424225196113,1.5875648937389892
533.75,533.75,242.5367477843603,1.5723222592707549
533.9999999999999,533.9999999999999,242.22627195655735,1.578227657199002
534.25,534.25,241.88292549784876,1.5851729391681562
534.5,534.5,241.55054591245008,1.5869898239644444
534.75,534.75,241.18749951908688,1.5881317549874445
535,535,240.82180483925444,1.591334336049837
535.25,535.25,240.4261515805145,1.590531435090269
535.4999999999999,535.4999999999999,240.0705749140355,1.5809597745520603
535.75,535.75,239.61293933712753,1.6019645599188839
536,536,239.16654443579333,1.596402091463519
536.25,536.25,238.7698826065606,1.61025108966056
536.5,536.5,238.2969621798039,1.602420517057493
536.7499999999999,536.7499999999999,237.84980927528557,1.6058894315670558
536.9999999999999,536.9999999999999,237.3818738300612,1.6042796763588725
537.25,537.25,236.88653102103362,1.601235880075954
537.5,537.5,236.37986105087174,1.5983603044763435
537.75,537.75,235.87438292576593,1.6042883466772468
538,538,235.36231423467834,1.6043803846939595
538.2499999999999,538.2499999999999,234.74699991376127,1.6120953706330545
538.5,538.5,234.16605792165586,1.6053245692432043
538.75,538.75,233.55070053796584,1.607832511368599
539,539,232.9192413490839,1.6145032825796213
539.25,539.25,232.28226001851846,1.6091637936214467
539.5,539.5,231.62600143026899,1.6110131687411593
539.7499999999999,539.7499999999999,230.98417260248593,1.604106277300224
540,540,230.3190979462947,1.6104812236134598
550,550,197.30973932754824,1.5262189599500415
560,560,159.99339956971818,1.378793017344718
570,570,124.82618482139509,1.1909544848760218
580,580,95.14295191459681,1.004622917883489
590,590,72.19444087269191,0.8424480884352981
600,600,55.46291332945385,0.7043688424387722
610,610,43.44467495439618,0.594293310412678
619.9999999999999,619.9999999999999,34.714438442364894,0.5109290506280779
629.9999999999999,629.9999999999999,28.216990383342996,0.44340730767779213
639.9999999999999,639.9999999999999,23.289104321133358,0.3895005398162217
650,650,19.539938800597064,0.34483656348618497
660,660,16.696596958655892,0.30683592078438904
670,670,14.553330388136276,0.27570655071312594
680,680,12.912676177857474,0.24770100753718374
690,690,11.621262129900414,0.22472896952637364
700,700,10.566678773015246,0.20279847993320263
