% Model,AuDimmer-7-30nm-10nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 15:16"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),C_abs (nm^2),C_sca (nm^2)
450,450,126.91541423611325,0.646075413412909
460,460,126.15582480869801,0.5923959355590773
470,470,125.90975678439258,0.5476974568991126
480,480,129.12995190631682,0.5232186457885096
490,490,138.25098560727912,0.5432014617689918
500,500,156.01768973668493,0.6346242420629017
509.99999999999994,509.99999999999994,183.68920856098686,0.8302411121972728
519.9999999999999,519.9999999999999,212.36500126040002,1.1324129529095774
520.25,520.25,212.89125315321385,1.1213362785133087
520.5,520.5,213.4295674799849,1.1438752575849367
520.75,520.75,213.94049351433708,1.138559873565592
521,521,214.45765000865617,1.1417510445808845
521.2499999999999,521.2499999999999,214.971979786214,1.1517723536020146
521.4999999999999,521.4999999999999,215.47641167104328,1.1764262640217968
521.75,521.75,215.96312052254473,1.1675727004094414
522,522,216.45881624501058,1.1712471088621466
522.25,522.25,216.9487510513991,1.2015733368323447
522.5,522.5,217.417495860438,1.2039129805932993
522.7499999999999,522.7499999999999,217.8843225629403,1.2080614627987414
523,523,218.36873853610808,1.2179568501048124
523.25,523.25,218.6056524527785,1.2191517561451701
523.5,523.5,218.8474337249624,1.2295188113865887
523.75,523.75,219.10552962811747,1.238120252411878
523.9999999999999,523.9999999999999,219.30503175654252,1.244651842087811
524.2499999999999,524.2499999999999,219.55567842646238,1.2372039645733424
524.5,524.5,219.73551830775892,1.2544139055966492
524.75,524.75,219.92602554076754,1.23929777894001
525,525,220.11771192945469,1.2526177132871685
525.25,525.25,220.29739322237063,1.2623490895905203
525.4999999999999,525.4999999999999,220.44589563178081,1.269095247159357
525.75,525.75,220.60697918187216,1.2844701118287125
526,526,220.74350407442753,1.2920640244234465
526.25,526.25,220.89730883689862,1.2895580738001455
526.5,526.5,221.00497928494926,1.3027568996782644
526.75,526.75,221.11647102147418,1.302755446546796
526.9999999999999,526.9999999999999,221.22659873673047,1.3079156730624981
527.25,527.25,221.32090295990858,1.3142480026327044
527.5,527.5,221.38691952809955,1.3047714635943983
527.75,527.75,221.44341327532373,1.3222586683572435
528,528,221.50000047821717,1.3336111229493532
528.2499999999999,528.2499999999999,221.38720133422032,1.324446365567221
528.4999999999999,528.4999999999999,221.25731094703548,1.3335261995478787
528.75,528.75,221.1170903555069,1.3541211028971332
529,529,220.96612883107665,1.351361573703659
529.25,529.25,220.80850091971254,1.358518294187017
529.5,529.5,220.6182248187575,1.3570100909635041
529.7499999999999,529.7499999999999,220.42603393031987,1.3442402224932941
530,530,220.2367166499507,1.3537196619474177
530.25,530.25,220.02874672395194,1.357643089367034
530.5,530.5,219.8060627290314,1.3599776474989203
530.75,530.75,219.57470092463515,1.3667027471992745
531,531,219.31934503949245,1.3569749100946356
531.2499999999999,531.2499999999999,219.06272588632973,1.355247166419832
531.5,531.5,218.7763576284455,1.3915330339089886
531.75,531.75,218.5174709867581,1.3866489516038163
532,532,218.20966694328328,1.380758103114392
532.25,532.25,217.89541371032917,1.3900089660103405
532.4999999999999,532.4999999999999,217.64195868879125,1.3866742656087383
532.7499999999999,532.7499999999999,217.24801515604122,1.395392393320451
533,533,216.90389593141063,1.3823496422807147
533.25,533.25,216.45703384590553,1.3915587823299356
533.5,533.5,215.9915149987473,1.3985812650432117
533.75,533.75,215.5211789257222,1.400033384963806
533.9999999999999,533.9999999999999,215.04438546641333,1.399071953299546
534.25,534.25,214.538936878535,1.3991637847640115
534.5,534.5,214.03132180602893,1.3946905001684955
534.75,534.75,213.51737919548265,1.3918414622887083
535,535,213.01430484661375,1.4037925302281318
535.25,535.25,212.46455497418393,1.405567057221172
535.4999999999999,535.4999999999999,211.92297674009635,1.4099610766085828
535.75,535.75,211.36942920615363,1.402449912419731
536,536,210.79907522006874,1.4113704163090097
536.25,536.25,210.25402580366983,1.4029730594786771
536.5,536.5,209.6413410073756,1.3995083170176552
536.7499999999999,536.7499999999999,209.06311500666018,1.402814205823438
536.9999999999999,536.9999999999999,208.45930577441186,1.3987008108956984
537.25,537.25,207.84268620406272,1.4102009731207432
537.5,537.5,207.22249005833618,1.3988859012590593
537.75,537.75,206.6010220223414,1.3967889642114852
538,538,205.98108685583344,1.4104764547679736
538.2499999999999,538.2499999999999,205.26527681304503,1.4043320014825322
538.5,538.5,204.5697441925332,1.4052064466633463
538.75,538.75,203.941662755896,1.3984815163590836
539,539,203.1697596923091,1.399685043576286
539.25,539.25,202.43660292248222,1.4068493527541637
539.5,539.5,201.78653202986655,1.3917045321174706
539.7499999999999,539.7499999999999,201.02462015473347,1.3855044956495837
540,540,200.27430390153955,1.3949443539884248
550,550,167.30017226453714,1.2860960447476597
560,560,133.69853183366095,1.1376568037363308
570,570,103.74694768149769,0.9855829567359067
580,580,79.16954613553489,0.8348288684088014
590,590,60.39005362862298,0.703157753081411
600,600,46.70851039091888,0.5920146996802748
610,610,36.84722805845713,0.5048834487043319
619.9999999999999,619.9999999999999,29.628351605348666,0.43554795050720485
629.9999999999999,629.9999999999999,24.212519241478486,0.3798034957818393
639.9999999999999,639.9999999999999,20.07699326708261,0.334914503353614
650,650,16.916710057717324,0.2977098380772858
660,660,14.50916886009355,0.26619971121162905
670,670,12.691330151588083,0.23922259738869392
680,680,11.296592155697066,0.21548261268753263
690,690,10.195961189216373,0.1954432297825395
700,700,9.297682041223373,0.17772333708079374
