% Model,Supported-Internal-m075.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 13:30"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.2759817017019688,6.893083185513227E-5
460,460,0.27220966956991854,5.886388771344778E-5
470,470,0.26929101429783736,5.314539810547576E-5
480,480,0.27303773249810737,4.884464467138795E-5
490,490,0.28770381322803673,4.948835378054337E-5
500,500,0.3179595573880812,5.293514038845403E-5
509.99999999999994,509.99999999999994,0.3661292121086257,7.015955865754842E-5
519.9999999999999,519.9999999999999,0.4200106551955426,9.574602585922641E-5
520.25,520.25,0.4211272232865727,9.234228372383164E-5
520.5,520.5,0.4223027527422688,1.0315540135050177E-4
520.75,520.75,0.4235019045933574,8.744356213948559E-5
521,521,0.42457246917087166,8.282500124906805E-5
521.2499999999999,521.2499999999999,0.4256134899840631,8.659686788588372E-5
521.4999999999999,521.4999999999999,0.4267393912851377,9.583114002599976E-5
521.75,521.75,0.42773141925304964,1.0560091099526187E-4
522,522,0.428799932502082,9.964741616258019E-5
522.25,522.25,0.4297779475532118,1.0113629425934388E-4
522.5,522.5,0.4308271138103729,9.530764545876097E-5
522.7499999999999,522.7499999999999,0.431793452472461,9.812742908161883E-5
523,523,0.43267910100422985,1.0814259759672935E-4
523.25,523.25,0.4335922532962009,1.0215256986706019E-4
523.5,523.5,0.4344340784728354,1.0453509418549536E-4
523.75,523.75,0.43536554632123553,1.0287420951316762E-4
523.9999999999999,523.9999999999999,0.4362695928939623,1.026440850123551E-4
524.2499999999999,524.2499999999999,0.4371286765424243,1.05079175899108E-4
524.5,524.5,0.4377052881785317,1.1064279471016317E-4
524.75,524.75,0.4385264375467536,1.0309852970619456E-4
525,525,0.43930986802648864,1.010578668144718E-4
525.25,525.25,0.4399639525406696,1.1345975500477928E-4
525.4999999999999,525.4999999999999,0.4407118036006363,9.535137079614726E-5
525.75,525.75,0.4413189729964223,1.0462322918519794E-4
526,526,0.44212060294897587,1.000994683300474E-4
526.25,526.25,0.4426209112235,1.0626073673268369E-4
526.5,526.5,0.44328581572020503,1.0240764558066142E-4
526.75,526.75,0.4437480911642097,1.2091114030605475E-4
526.9999999999999,526.9999999999999,0.4443435150237493,1.1465402632659272E-4
527.25,527.25,0.4447837272204774,1.1029810508371932E-4
527.5,527.5,0.4453544924235413,1.305050301847796E-4
527.75,527.75,0.44571709307423835,1.2454652975073556E-4
528,528,0.4462506112806733,1.0014840759080481E-4
528.2499999999999,528.2499999999999,0.446605913839047,1.0142659285794053E-4
528.4999999999999,528.4999999999999,0.4470800456630745,1.0407596522562985E-4
528.75,528.75,0.4472961250199498,1.0293657392307705E-4
529,529,0.4477492805138393,1.1242689947242322E-4
529.25,529.25,0.447831863566341,1.1090406117163387E-4
529.5,529.5,0.4481850239658157,9.678998051629902E-5
529.7499999999999,529.7499999999999,0.44850390005510515,1.3358909928912825E-4
530,530,0.44881550387710295,1.2928423710151105E-4
530.25,530.25,0.4488596409385571,1.0958854360552379E-4
530.5,530.5,0.4489919542367826,1.040488213097693E-4
530.75,530.75,0.44916826261069825,1.2689556039492233E-4
531,531,0.44929057389620314,1.0509841037027765E-4
531.2499999999999,531.2499999999999,0.4493857962838086,1.3885558539968436E-4
