% Model,Supported-Internal-m050.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 25 2023, 11:36"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.26684966724842507,8.991445230977211E-5
460,460,0.26341133248991083,8.848483190965728E-5
470,470,0.26060911780509854,6.66497740966293E-5
480,480,0.2643928346142059,6.753027416976481E-5
490,490,0.27885807783027516,7.289574906888823E-5
500,500,0.30803541993029154,7.876061986646207E-5
509.99999999999994,509.99999999999994,0.3543065059816902,8.927957353200034E-5
519.9999999999999,519.9999999999999,0.40480722705793853,1.2510693991729115E-4
520.25,520.25,0.4058468171640311,1.348959261626294E-4
520.5,520.5,0.4069372026005245,1.380771695533222E-4
520.75,520.75,0.40795945329014843,1.2634243612040267E-4
521,521,0.40900711357655783,1.282040552382432E-4
521.2499999999999,521.2499999999999,0.40992714718404727,1.4114501368226755E-4
521.4999999999999,521.4999999999999,0.41092154617452686,1.3275372465886562E-4
521.75,521.75,0.41190948128350136,1.3867825106443976E-4
522,522,0.4128663975851342,1.2622556486132535E-4
522.25,522.25,0.41374409076526364,1.4512850133394228E-4
522.5,522.5,0.41460998641095737,1.334909767327521E-4
522.7499999999999,522.7499999999999,0.41544531245665334,1.4880144041375841E-4
523,523,0.4163819285491765,1.2974866656670491E-4
523.25,523.25,0.4171484356710472,1.5064371891771648E-4
523.5,523.5,0.4179932660216082,1.3201913582017676E-4
523.75,523.75,0.41869327690697755,1.1986805477572467E-4
523.9999999999999,523.9999999999999,0.4194704261704403,1.5009482252823671E-4
524.2499999999999,524.2499999999999,0.42017641527509136,1.2121339616178635E-4
524.5,524.5,0.42082130586836347,1.4164761128315992E-4
524.75,524.75,0.4215120513838353,1.5318879766527502E-4
525,525,0.42221928572251427,1.5027450987067052E-4
525.25,525.25,0.4227555070492238,1.2218731102786186E-4
525.4999999999999,525.4999999999999,0.4233737407763593,1.5662975733146363E-4
525.75,525.75,0.42402603742290274,1.2354501875743638E-4
526,526,0.4245831096921273,1.533768209214249E-4
526.25,526.25,0.4249620673670896,1.546172657006968E-4
526.5,526.5,0.4254967855100353,1.326003255706163E-4
526.75,526.75,0.42601290500126443,1.4849778115394533E-4
526.9999999999999,526.9999999999999,0.42651815179495234,1.637094210568004E-4
527.25,527.25,0.42689443323077025,1.531614251410673E-4
527.5,527.5,0.427172914555143,1.650708185185217E-4
527.75,527.75,0.4275668610619323,1.5857569995853543E-4
528,528,0.4279850178961511,1.4911839429316185E-4
528.2499999999999,528.2499999999999,0.42826177432291646,1.5690497116405456E-4
528.4999999999999,528.4999999999999,0.42847339462277584,1.416913108285622E-4
528.75,528.75,0.42881197958780815,1.3270136601352248E-4
529,529,0.4290888900811722,1.4789538969005108E-4
529.25,529.25,0.42931274773057676,1.562751579225953E-4
529.5,529.5,0.42944212162909234,1.497663189869935E-4
529.7499999999999,529.7499999999999,0.4295876546299186,1.6480199072837538E-4
530,530,0.42982120547604197,1.5004169708447883E-4
530.25,530.25,0.4298396388822791,1.8159319515078772E-4
530.5,530.5,0.4299451364487311,1.560227531983653E-4
530.75,530.75,0.42997723728927834,1.7244005956702655E-4
531,531,0.43015435744465047,1.543056368170809E-4
531.2499999999999,531.2499999999999,0.4300298266154378,1.4702184693268363E-4
531.5,531.5,0.4301032428222782,1.6353246907233366E-4
531.75,531.75,0.43007691006064314,1.7238561808379294E-4
532,532,0.4299217513408358,1.8926183683075804E-4
532.25,532.25,0.4298536571923297,1.6744683065449847E-4
532.4999999999999,532.4999999999999,0.4297359204472192,1.747669937228574E-4
532.7499999999999,532.7499999999999,0.4296127118994585,1.784755455495929E-4
533,533,0.42946873853809736,1.774123939985648E-4
533.25,533.25,0.42930129732684463,1.7124623745773927E-4
533.5,533.5,0.4291042210372086,1.4607243379667127E-4
533.75,533.75,0.428832425780785,1.719714875430799E-4
533.9999999999999,533.9999999999999,0.4286572380819522,1.7919938721797514E-4
534.25,534.25,0.4282990927011547,1.3796253910078782E-4
534.5,534.5,0.4280717676793564,1.819218391880063E-4
534.75,534.75,0.4277135109550586,1.4604599430757912E-4
535,535,0.4274232287276819,1.8500380115611965E-4
535.25,535.25,0.4270442221790956,1.8075991855064135E-4
535.4999999999999,535.4999999999999,0.426704235504701,1.919176145111942E-4
535.75,535.75,0.42623119210651905,1.6028813438107495E-4
536,536,0.42587691596029104,1.5547195918924194E-4
536.25,536.25,0.42544946689303986,1.6273306311571993E-4
536.5,536.5,0.42487018466148435,1.5842293289447559E-4
536.7499999999999,536.7499999999999,0.4244130539137703,1.6409073891782012E-4
536.9999999999999,536.9999999999999,0.42394922483055414,1.734628836277739E-4
537.25,537.25,0.4234826781840034,1.7513350617972233E-4
537.5,537.5,0.42282590505570034,1.6590975920114124E-4
537.75,537.75,0.4222760808738719,1.9312669366216057E-4
538,538,0.4217186099503088,1.7221328705813922E-4
538.2499999999999,538.2499999999999,0.4212474836053237,1.9507013362815497E-4
538.5,538.5,0.4204891090113712,1.6941247024002929E-4
538.75,538.75,0.4199139468601291,1.927260617712333E-4
539,539,0.41925303979249895,1.6881565194840805E-4
539.25,539.25,0.4185172098420864,1.8149938373721592E-4
539.5,539.5,0.4179140497768956,1.665856348589206E-4
539.7499999999999,539.7499999999999,0.41720152133911836,1.6921770834868075E-4
540,540,0.41662305255608956,1.718171247454895E-4
550,550,0.37879707987523115,1.9510896175629452E-4
560,560,0.3320873936328874,1.5650768013169907E-4
570,570,0.28247693725669737,1.6347698082870687E-4
580,580,0.23464360105697973,1.55779173512937E-4
590,590,0.19158497025396026,1.371988865627075E-4
600,600,0.1562053435961028,1.1407423897182171E-4
610,610,0.12847419588024298,1.0586914260133177E-4
619.9999999999999,619.9999999999999,0.10701682751528792,9.420872084298248E-5
629.9999999999999,629.9999999999999,0.09037335834997604,8.357929458482906E-5
639.9999999999999,639.9999999999999,0.07732723919039113,7.784552581849528E-5
650,650,0.06695023840816881,7.303973701441326E-5
660,660,0.05870840696685031,6.156364666945534E-5
670,670,0.05211673646163802,6.702813782159392E-5
680,680,0.046786485735872574,6.33659997637741E-5
690,690,0.042409319900397195,5.619677042419297E-5
700,700,0.03876751491925355,5.197533883455994E-5
