% Model,Supported-Internal-m000.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 25 2023, 11:29"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
531.75,531.75,0.37962594818280876,2.3057362368942555E-4
532,532,0.3794378286769631,2.071158401332475E-4
532.25,532.25,0.3792067792058001,2.0098996298354268E-4
532.4999999999999,532.4999999999999,0.37888502212989633,1.4468970683569743E-4
532.7499999999999,532.7499999999999,0.3786063332526686,1.8444481964283795E-4
533,533,0.3782799319438309,1.8580821428382607E-4
533.25,533.25,0.3779347473159154,1.74979149696116E-4
533.5,533.5,0.377733733589721,1.7100764398284753E-4
533.75,533.75,0.37714912493798536,2.3115414493793545E-4
533.9999999999999,533.9999999999999,0.37685269817841716,2.1539476190626176E-4
534.25,534.25,0.37647017624928825,1.7990874811925562E-4
534.5,534.5,0.3759177528733197,1.7813134035468724E-4
534.75,534.75,0.37570279271352125,1.6882391267851904E-4
535,535,0.3751639006166724,1.947993055555039E-4
535.25,535.25,0.37473768056475154,2.000444067899983E-4
535.4999999999999,535.4999999999999,0.37425007914721325,2.2300091856314715E-4
535.75,535.75,0.3737230819150938,1.5533901144903047E-4
536,536,0.3731585794262992,1.961330758491629E-4
536.25,536.25,0.37267109089059125,1.760452569287036E-4
536.5,536.5,0.3720729086222302,2.2182276930642148E-4
536.7499999999999,536.7499999999999,0.371584042094573,2.107294686045411E-4
536.9999999999999,536.9999999999999,0.3709178903741743,2.2567796757142454E-4
537.25,537.25,0.3703310318163798,2.3093427966802544E-4
537.5,537.5,0.3696276350227956,2.1820254272846527E-4
537.75,537.75,0.3689979652582961,2.1342379929521887E-4
538,538,0.36857328138598494,2.301762648046846E-4
538.2499999999999,538.2499999999999,0.36776362402372476,2.0320755427145855E-4
538.5,538.5,0.36713150411655354,2.063866225213921E-4
538.75,538.75,0.36648623466866276,2.1788117109170304E-4
539,539,0.36569080721544245,2.1837290890194645E-4
539.25,539.25,0.3649271475194933,2.1029428780640978E-4
539.5,539.5,0.3641735870596607,1.8455814259264435E-4
539.7499999999999,539.7499999999999,0.36342552303559916,2.0935242116219314E-4
540,540,0.36278237754858883,1.848232631818395E-4
550,550,0.3255098683773627,1.7582111828504742E-4
560,560,0.2825936688166762,1.775505646471836E-4
570,570,0.2390366650454289,1.4434558988845987E-4
580,580,0.1976556496845314,1.5366807727860125E-4
590,590,0.16154364034603155,1.2208196629164768E-4
600,600,0.13186941674524533,1.067133572895287E-4
610,610,0.10874428572574385,7.406485719317114E-5
619.9999999999999,619.9999999999999,0.09085093292189679,7.544470432275496E-5
629.9999999999999,629.9999999999999,0.0768981927433548,6.844977878857763E-5
639.9999999999999,639.9999999999999,0.06593517748279837,6.0611843837400596E-5
650,650,0.05721468770561313,4.963316603442378E-5
660,660,0.05026632366921983,4.2955180785028696E-5
670,670,0.044718685316566725,4.8033516909967574E-5
680,680,0.04022413208392363,4.295388520241889E-5
690,690,0.03653296616897634,2.950095704990272E-5
700,700,0.03341541204862507,2.882874239417908E-5
