Wavelength  [nm],3nm Extinction [a.u.],5nm Extinction [a.u.],7nm Extinction [a.u.],9nm Extinction [a.u.],11nm Extinction [a.u.],13nm Extinction [a.u.],15nm Extinction [a.u.],17nm Extinction [a.u.]
209.23907,NaN,NaN,0.11115,NaN,-0.16273000000000001,NaN,0.35217999999999999,0.10266
209.50827000000001,-0.33206000000000002,0.065500000000000003,0.18451999999999999,-0.30103000000000002,-0.11197,0.15261,0.36797999999999997,0.037789999999999997
209.77745999999999,-0.40249000000000001,-0.11394,NaN,0.27621000000000001,0.33994999999999997,NaN,0.92942000000000002,-0.47711999999999999
210.04664,NaN,0.29148000000000002,0.021190000000000001,0.84509999999999996,0.18564,1.4698199999999999,NaN,-0.24304000000000001
210.31581,0.060699999999999997,0.39445000000000002,-0.37010999999999999,NaN,0.10012,-0.12740000000000001,NaN,NaN
210.58498,-0.096909999999999996,NaN,-0.15679000000000001,-0.39794000000000002,0.49136000000000002,NaN,0.21209,-0.069639999999999994
210.85414,-0.096909999999999996,NaN,-0.041390000000000003,0.24304000000000001,0.21671000000000001,NaN,0.064939999999999998,0.02555
211.12329,0.15126999999999999,0.23263,-1.02803,0.32033,NaN,0.30103000000000002,0.63682000000000005,-0.065500000000000003
211.39242999999999,NaN,-0.94987999999999995,0.14341999999999999,NaN,0.19312000000000001,0.49485000000000001,0.41217999999999999,-0.20412
211.66157000000001,0.52827000000000002,-0.43136000000000002,0.19957,-0.07918,0.25527,NaN,0.53510999999999997,NaN
211.93069,NaN,0.019019999999999999,0,NaN,-0.18451999999999999,NaN,-0.36797999999999997,-0.27416000000000001
212.19981000000001,-0.27106999999999998,0.43269999999999997,-0.39794000000000002,0.75333000000000006,-0.033860000000000001,-0.096909999999999996,-0.30103000000000002,-0.57403000000000004
212.46892,-0.44716,0.22184999999999999,0.089399999999999993,0.03141,0.23888000000000001,NaN,-0.088139999999999996,1.04139
212.73803000000001,NaN,-0.25844,NaN,-0.42597000000000002,0.48734,Inf,0.36408000000000001,-0.87505999999999995
213.00711999999999,1,NaN,0.10266,0.020199999999999999,Inf,0.087150000000000005,0.53510999999999997,-0.30103000000000002
213.27620999999999,NaN,-0.10868999999999999,-0.098129999999999995,-0.022280000000000001,0.35217999999999999,NaN,0,NaN
213.54528999999999,NaN,-0.32351000000000002,-0.23846999999999999,0.01158,-1.2174799999999999,0.054359999999999999,0.25180999999999998,0.17609
213.81435999999999,-0.090810000000000002,-0.26323999999999997,NaN,-0.28255000000000002,-0.28083000000000002,-0.051150000000000001,-0.043470000000000002,0.19497999999999999
214.08342999999999,0.074099999999999999,NaN,0.22184999999999999,-0.039510000000000003,NaN,0.94201000000000001,-0.17609,0
214.35248999999999,0.040430000000000001,-0.74168000000000001,0.39415,0.52288000000000001,NaN,NaN,0.69896999999999998,1.2041200000000001
214.62154000000001,NaN,-0.44871,0.27816999999999997,0.81954000000000005,1.0253099999999999,1.18564,NaN,-0.017729999999999999
214.89058,NaN,NaN,0.18074000000000001,-0.45426,0.13622000000000001,NaN,0.20646999999999999,0.15490000000000001
215.15960999999999,-0.41497000000000001,-0.37107000000000001,-0.11070000000000001,NaN,0.33994999999999997,0.02896,0.45863999999999999,NaN
215.42864,-1.07918,0.06454,-0.13622000000000001,0.29397000000000001,NaN,0.14266999999999999,-0.53510999999999997,-0.1181
215.69766000000001,NaN,0.7026,0.21085000000000001,NaN,0.70969000000000004,-0.034759999999999999,NaN,0.05799
215.96666999999999,-0.33206000000000002,0.48509000000000002,0.49830999999999998,NaN,-0.26627000000000001,NaN,0.56730000000000003,NaN
216.23567,-0.051920000000000001,NaN,0.35750999999999999,NaN,NaN,-0.084320000000000006,NaN,0.31741999999999998
216.50467,0.21560000000000001,NaN,NaN,NaN,-0.15490000000000001,NaN,-0.10145999999999999,-0.62324999999999997
216.77365,0.015789999999999998,0.53056999999999999,NaN,0.65320999999999996,NaN,0.01336,NaN,NaN
217.04263,-0.072550000000000003,NaN,0.036979999999999999,NaN,0.068720000000000003,0.68123999999999996,0.41754000000000002,NaN
217.3116,0.24032999999999999,0.068029999999999993,-0.73238999999999999,-0.44369999999999998,0.020199999999999999,NaN,-0.10617,NaN
217.58056999999999,NaN,-0.10868999999999999,-1.2863100000000001,0.45863999999999999,NaN,NaN,0.031600000000000003,NaN
217.84952999999999,NaN,NaN,-0.60206000000000004,Inf,NaN,0.22184999999999999,0.16273000000000001,0.66005000000000003
218.11847,-0.17609,-0.37107000000000001,0.011900000000000001,0.72699999999999998,NaN,-0.14613000000000001,0,0.12241
218.38741999999999,NaN,NaN,Inf,-0.07639,-0.10580000000000001,0.25963999999999998,0.49009000000000003,0.20412
218.65635,NaN,NaN,0.36173,0.088940000000000005,NaN,0.48666999999999999,NaN,0.04743
218.92527000000001,0.20412,2,NaN,-0.020199999999999999,0.40748000000000001,0.91644999999999999,NaN,-0.12909000000000001
219.19418999999999,0.23888000000000001,-1.13988,-0.27300000000000002,0.38818000000000003,0.05271,0.24304000000000001,-0.027150000000000001,NaN
219.4631,-0.47711999999999999,NaN,-0.39794000000000002,0.05799,-0.56427000000000005,NaN,0.068720000000000003,0.22184999999999999
219.732,-0.21181,NaN,0.40368999999999999,NaN,0.016389999999999998,NaN,-1.02119,0.35217999999999999
220.0009,0.081309999999999993,0.38722000000000001,0.12494,0,1.02803,-1.2900400000000001,-0.25756000000000001,0.24304000000000001
220.26978,0.2278,NaN,-0.071059999999999998,-0.045760000000000002,0.023910000000000001,NaN,-0.81291000000000002,NaN
220.53865999999999,0.048309999999999999,-0.051889999999999999,-0.052389999999999999,0.044200000000000003,-0.21848999999999999,NaN,0.05799,NaN
220.80753000000001,-0.72699999999999998,0.022280000000000001,0,NaN,NaN,-0.58982999999999997,-0.12934999999999999,NaN
221.07640000000001,-0.22184999999999999,-0.88649,0.21806,-0.47711999999999999,0.28523999999999999,-0.040430000000000001,-0.98528000000000004,0.53147999999999995
221.34524999999999,-0.082970000000000002,0.69896999999999998,-1.4623999999999999,NaN,0.20760999999999999,-0.75966999999999996,-0.80162999999999995,Inf
221.61410000000001,-0.13830000000000001,NaN,NaN,NaN,Inf,0.95423999999999998,0.039510000000000003,-0.051150000000000001
221.88293999999999,0.52288000000000001,NaN,0.33882000000000001,NaN,NaN,NaN,0.65320999999999996,0.49485000000000001
