% Model,AuDimmer-7-30nm-12nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 15:20"
% Table,Table 2 - Global Evaluation 1
% wlength (nm),lambda0 (nm),C_abs (nm^2),C_sca (nm^2)
450,450,124.82157721617814,0.6332600081036067
460,460,124.1417673375597,0.5836112855792421
470,470,123.96298790859865,0.5367009323641053
480,480,127.22642375713535,0.5175974697739096
490,490,136.29265709802382,0.5332667348297069
500,500,153.80572763948942,0.622841592968827
509.99999999999994,509.99999999999994,180.7297958093283,0.8160568534243813
519.9999999999999,519.9999999999999,207.72720139600563,1.091628642921838
520.25,520.25,208.22335335278456,1.1017015525205522
520.5,520.5,208.68197572184957,1.1190806662776145
520.75,520.75,209.1477975948044,1.1142996307363902
521,521,209.61777670366604,1.1265534959602492
521.2499999999999,521.2499999999999,210.0616465302497,1.1353707539596272
521.4999999999999,521.4999999999999,210.5153279155678,1.1432280037881988
521.75,521.75,210.95621936283885,1.1537776341951138
522,522,211.38998366778983,1.1542089076635265
522.25,522.25,211.81810137952047,1.1634364772029073
522.5,522.5,212.22050215361313,1.1762585865477837
522.7499999999999,522.7499999999999,212.6419418179697,1.1719001006693628
523,523,213.03887035302603,1.1949257625520262
523.25,523.25,213.24325596445962,1.1950926898532246
523.5,523.5,213.42759286895983,1.1992170468404808
523.75,523.75,213.60185075791338,1.210039484772829
523.9999999999999,523.9999999999999,213.77501935074247,1.2022334773748011
524.2499999999999,524.2499999999999,213.95744653888403,1.2172573431499683
524.5,524.5,214.0911954345141,1.217503344654826
524.75,524.75,214.2609791146895,1.2147600675832702
525,525,214.35567239220688,1.2292284562421436
525.25,525.25,214.4881060587788,1.237137293893011
525.4999999999999,525.4999999999999,214.60405520279585,1.2365019686829575
525.75,525.75,214.69776739392645,1.236463808895587
526,526,214.78077394994668,1.2513202407235755
526.25,526.25,214.8754447762507,1.256208070115768
526.5,526.5,214.92330229556032,1.2454135836490137
526.75,526.75,214.99246836925596,1.2581968752686379
526.9999999999999,526.9999999999999,215.0144016816401,1.271638826280456
527.25,527.25,215.05023012785853,1.2846008800567443
527.5,527.5,215.0755984922973,1.2871011187874097
527.75,527.75,215.0725107741013,1.279526743092399
528,528,215.08599147412423,1.2864879330731023
528.2499999999999,528.2499999999999,214.90977966783632,1.2924355632670195
528.4999999999999,528.4999999999999,214.7323941425504,1.3017543419314617
528.75,528.75,214.54919029618344,1.2950340285883115
529,529,214.3461883695008,1.2989187240857585
529.25,529.25,214.1369817686529,1.301772235538332
529.5,529.5,213.90490993842195,1.3074717485786067
529.7499999999999,529.7499999999999,213.72254185631104,1.3177358163232336
530,530,213.44388440160833,1.319849736039366
530.25,530.25,213.18686908252886,1.3078320526991898
530.5,530.5,212.924886581068,1.3215716720408193
530.75,530.75,212.64585469975773,1.3155951618595314
531,531,212.3472825032998,1.3197456325804091
531.2499999999999,531.2499999999999,212.0449449017826,1.322584632563261
531.5,531.5,211.72185288295637,1.3244002938740314
531.75,531.75,211.39287954166636,1.3391604505423382
532,532,211.10068764405335,1.3412049573683735
532.25,532.25,210.70643134348782,1.3335232450276242
532.4999999999999,532.4999999999999,210.34771234977907,1.3305631076451487
532.7499999999999,532.7499999999999,209.986649754288,1.3457252555189616
533,533,209.60916496773072,1.3421251250925859
533.25,533.25,209.11054217022985,1.3472085976738115
533.5,533.5,208.6335005137853,1.3354026427914698
533.75,533.75,208.1195325404454,1.3384380015241586
533.9999999999999,533.9999999999999,207.5960427683626,1.3480163286687377
534.25,534.25,207.09618498022962,1.3478554431674779
534.5,534.5,206.54875882684135,1.350945684200768
534.75,534.75,206.02007811293703,1.3427095804482
535,535,205.46023468409805,1.3474095119952452
535.25,535.25,204.91499909032927,1.3441556060539182
535.4999999999999,535.4999999999999,204.33282477759326,1.3418703233677938
535.75,535.75,203.76177008501878,1.3420253466654553
536,536,203.17062384344175,1.3373731036763639
536.25,536.25,202.58844295402258,1.3485128067613272
536.5,536.5,201.98536269537638,1.341122543507417
536.7499999999999,536.7499999999999,201.37119472855213,1.3457967201350878
536.9999999999999,536.9999999999999,200.74297170857744,1.3465331869829615
537.25,537.25,200.10100557353582,1.3578770122589001
537.5,537.5,199.472743777993,1.3435482006651305
537.75,537.75,198.82497832283266,1.346076271015985
538,538,198.16662363250015,1.3546600096207924
538.2499999999999,538.2499999999999,197.46514284145084,1.3355559651218751
538.5,538.5,196.7590649110793,1.3406939745401365
538.75,538.75,196.0474502487747,1.3348870306357403
539,539,195.32975687425926,1.3344829457550185
539.25,539.25,194.61567490630492,1.3430995190110986
539.5,539.5,193.88430518884195,1.3425764948310874
539.7499999999999,539.7499999999999,193.1443565648368,1.3353935610203325
540,540,192.41368713358074,1.332602403432857
550,550,159.82427169618845,1.225273042617073
560,560,127.37120420148035,1.082556310679709
570,570,98.74020422852516,0.9390422625147017
580,580,75.38693487782933,0.7941435232331097
590,590,57.59938579394102,0.6705496300508273
600,600,44.63605497030373,0.566594041741535
610,610,35.267754952925,0.4829349354350303
619.9999999999999,619.9999999999999,28.403229180194792,0.4175048779963308
629.9999999999999,629.9999999999999,23.241265097298573,0.36334820021459274
639.9999999999999,639.9999999999999,19.298292027140416,0.32173538538386526
650,650,16.27477826487151,0.2848913165997813
660,660,13.972765049643483,0.25570930436131567
670,670,12.231464197900307,0.2297093092659942
680,680,10.896504969704063,0.20883669252462933
690,690,9.840857465316642,0.18794911487951543
700,700,8.977495199626782,0.1720561180767696
