"Pol","ang","mu","Best Radius","Cfrac","Error"
"s Pol",64.9,5.78,3.5266182057613906,0.40640482563993385,7.796787690711147e-8
"s Pol",64.9,7.3,6.773724158486366,0.5776513364727373,8.473628546706514e-12
"s Pol",72.9,5.78,3.438537974212551,-0.35940900358372846,2.1198237801376002e-7
"s Pol",72.9,7.3,4.526186471708096,0.4890627089850387,8.150680900522848e-8
