"Pol","ang","mu","Time","Bes Radius","Error"
"s Pol",72.9,5.9,3661.048391,27.95301858670632,0.0014923773596511628
"s Pol",72.9,5.9,2395.449251,24.827258429292467,2.611531495258608
"s Pol",72.9,5.9,1901.546191,15.524102341553395,5.73742389442135e-10
"s Pol",72.9,5.9,2473.885349,26.951356139788853,1.2181734802551583e-10
"p Pol",72.9,7.3,1785.304247,5.45924425823888,1.6700749380354743e-9
"p Pol",72.9,7.3,1824.200942,6.772919331474167,1.1448636810174877e-9
"p Pol",72.9,7.3,1430.346778,5.679668680704459,2.018285433197301e-9
"p Pol",72.9,7.3,1468.821426,7.551613030245595,1.7386574541493188e-9
