% Model,AuNP-5-78nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 12:59"
% Dimension,3
% Nodes,32092
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-4.5494933690416516E-14,-190.8521875,-264.71546874999996,1.5980433690532E-7
-6.782881022934826E-14,-190.8521875,-272.9225,1.1275571911417511E-7
-2.3161057151484772E-14,-199.05921875,-256.50843749999996,1.9468609058958952E-7
-2.3161057151484772E-14,-190.8521875,-256.50843749999996,2.441522612875337E-7
6.824240053562477E-14,-248.30140624999999,-215.47328125000004,1.1901729691330986E-7
6.700162961679523E-14,-240.09437499999999,-215.47328125000004,1.7489654945421166E-7
9.59529510561512E-14,-248.30140624999999,-207.26625000000007,1.4693678974159118E-7
9.429858983104514E-14,-240.09437499999999,-207.26625000000007,2.1932571790656565E-7
1.9025154088719633E-14,-231.88734375,-231.88734375000004,1.560294123705409E-7
1.8197973476166606E-14,-223.6803125,-231.88734375000004,2.1698773993448313E-7
3.8050308177439267E-14,-231.88734375,-223.68031250000004,2.0370329240848903E-7
3.639594695233321E-14,-223.6803125,-223.68031250000004,2.8663600933873224E-7
-1.0339757656912844E-14,-215.47328125000004,-248.30140625000004,1.646474019931487E-7
-1.1580528575742386E-14,-207.26625000000004,-248.30140625000004,2.1722658283861162E-7
0,-215.47328125000004,-240.09437500000004,2.243361098262883E-7
0,-207.26625000000007,-240.0943750000001,2.996738866461196E-7
3.4741585727227156E-14,-272.9225,-182.64515625000007,2.7351029601252068E-8
3.5568766339780184E-14,-264.71546874999996,-182.64515625000007,6.695620114123525E-8
3.639594695233321E-14,-256.50843749999996,-182.64515625,1.3022524235130638E-7
8.437242248040881E-14,-272.9225,-174.438125,2.7290691117875673E-8
8.519960309296184E-14,-264.71546874999996,-174.438125,7.252913561256863E-8
8.602678370551487E-14,-256.50843749999996,-174.438125,1.4344931254415548E-7
4.177262093392789E-14,-248.30140624999999,-199.05921875000013,1.70826050922563E-7
4.135903062765138E-14,-240.09437499999999,-199.05921875000007,2.5998838271668934E-7
-1.2407709188295414E-14,-248.30140624999999,-190.85218750000007,2.0242803329556776E-7
-1.1580528575742386E-14,-240.09437499999999,-190.85218750000007,3.1365177104701173E-7
-4.590852399669303E-14,-182.64515625,-264.71546874999996,1.8951968406912272E-7
-6.700162961679523E-14,-182.64515625,-272.9225,1.2430112572642845E-7
-4.6322114302969543E-14,-174.43812499999999,-264.71546874999996,2.1972732059385283E-7
-6.61744490042422E-14,-174.438125,-272.9225,1.3115249560370815E-7
-2.4815418376590827E-14,-182.64515624999999,-256.50843749999996,3.0147820351490415E-7
-2.6469779601696882E-14,-174.43812499999999,-256.50843749999996,3.64964389361841E-7
-1.1580528575742386E-14,-199.05921875,-248.30140625000004,2.870429414218032E-7
-1.1580528575742386E-14,-190.85218750000004,-248.30140625000004,3.6693740972607447E-7
0,-199.05921875000007,-240.0943750000001,4.0227276931989126E-7
0,-190.85218750000007,-240.0943750000001,5.204728314482907E-7
6.576085869796569E-14,-231.88734374999999,-215.47328125000004,2.602201395600812E-7
6.452008777913615E-14,-223.6803125,-215.47328125000004,3.7368806282926677E-7
9.347140921849211E-14,-231.88734375,-207.26625000000007,3.30840854980864E-7
9.264422860593909E-14,-223.6803125,-207.2662500000001,4.819933279804789E-7
1.8197973476166606E-14,-215.47328125000004,-231.88734374999999,3.0738795856822904E-7
1.8197973476166606E-14,-207.26625000000007,-231.88734375000007,4.1753209695810966E-7
3.639594695233321E-14,-215.47328125000004,-223.68031250000004,4.1173543172509695E-7
3.639594695233321E-14,-207.26625000000004,-223.6803125,5.65617234720594E-7
2.729696021424991E-14,-272.9225,-166.23109375000007,2.9931805021258046E-8
2.8124140826802938E-14,-264.71546874999996,-166.23109375000007,7.200021819734447E-8
2.895132143935596E-14,-256.50843749999996,-166.23109375000007,1.4024976568894586E-7
-2.977850205190899E-14,-272.9225,-158.02406250000013,3.5492491230442174E-8
-2.895132143935596E-14,-264.71546874999996,-158.02406250000013,7.488429627754447E-8
-2.8124140826802938E-14,-256.50843749999996,-158.02406250000013,1.427657367324625E-7
3.639594695233321E-14,-248.30140624999999,-182.64515625000004,2.1929798359173515E-7
3.639594695233321E-14,-240.09437499999999,-182.64515625000007,3.4652788643917846E-7
8.519960309296184E-14,-248.30140624999999,-174.438125,2.465544032166871E-7
8.437242248040881E-14,-240.09437499999999,-174.438125,3.9752322364265323E-7
4.135903062765138E-14,-231.88734374999999,-199.05921875000013,4.010156707399304E-7
4.135903062765138E-14,-223.6803125,-199.0592187500001,5.984341249225544E-7
-1.0753347963189358E-14,-231.88734375,-190.85218750000007,4.918500630926069E-7
-9.92616735063633E-15,-223.6803125,-190.85218750000007,7.47648744798973E-7
-5.045801736573468E-14,-166.23109375,-264.71546874999996,2.4848780285691517E-7
-7.361907451721945E-14,-166.23109375000004,-272.9225,1.3016683053068827E-7
-5.459392042849982E-14,-158.02406250000004,-264.71546874999996,2.725005342380036E-7
-8.10637000301967E-14,-158.02406250000004,-272.9225,1.1592085696871032E-7
-2.729696021424991E-14,-166.23109374999999,-256.50843749999996,4.2755048033448525E-7
-2.8124140826802938E-14,-158.0240625,-256.50843749999996,4.984864643837525E-7
-1.2407709188295414E-14,-182.64515625,-248.30140625000004,4.6199160272796675E-7
-1.3234889800848441E-14,-174.43812499999999,-248.30140625000004,5.684153235572788E-7
0,-182.64515625,-240.0943750000001,6.658441755512615E-7
0,-174.438125,-240.09437500000004,8.298082733008875E-7
1.7784383169890092E-14,-199.05921875000004,-231.88734375000007,5.717517891053719E-7
1.7370792863613578E-14,-190.85218750000007,-231.88734375000007,7.511249212216854E-7
3.5568766339780184E-14,-199.05921875000004,-223.6803125,7.876093534482403E-7
3.4741585727227156E-14,-190.85218750000004,-223.68031250000004,1.0467533727012208E-6
6.452008777913615E-14,-215.47328125000004,-215.47328125000004,5.493332090881852E-7
6.452008777913615E-14,-207.26625000000004,-215.47328125000004,7.708003043967904E-7
9.264422860593909E-14,-215.47328125000004,-207.2662500000001,7.193874682019513E-7
9.264422860593909E-14,-207.26625000000004,-207.2662500000001,1.0232197896474846E-6
1.4062070413401469E-14,-272.9225,-149.8170312500001,4.218124200467234E-8
-3.722312756488624E-15,-264.71546874999996,-149.8170312500001,7.179219928612494E-8
-2.1506695926378716E-14,-256.50843749999996,-149.8170312500001,1.27281232167205E-7
5.790264287871192E-14,-272.9225,-141.61000000000004,5.216069829889624E-8
2.1506695926378716E-14,-264.71546874999996,-141.61000000000004,6.99039801612101E-8
-1.4889251025954495E-14,-256.50843749999996,-141.61000000000004,1.1684274491040186E-7
-3.432799542095064E-14,-149.81703125000004,-264.71546874999996,3.107735559759341E-7
-4.053185001509835E-14,-149.81703125000004,-272.9225,9.29410674637852E-8
-1.4062070413401469E-14,-141.61000000000004,-264.71546874999996,3.595794211104944E-7
0,-141.61000000000004,-272.9225,1.528135246403485E-7
-2.8124140826802938E-14,-149.81703125,-256.50843749999996,5.519872523194762E-7
-2.8124140826802938E-14,-141.61000000000004,-256.50843749999996,6.121803000116738E-7
2.8124140826802938E-14,-248.30140624999999,-166.23109375000007,2.467038080132002E-7
2.729696021424991E-14,-240.09437499999999,-166.23109375000007,4.04133834396517E-7
-2.895132143935596E-14,-248.30140624999999,-158.02406250000013,2.589004883930585E-7
-2.977850205190899E-14,-240.09437499999999,-158.02406250000013,4.322949291109439E-7
3.639594695233321E-14,-231.88734374999999,-182.64515625000007,5.57041100195689E-7
3.639594695233321E-14,-223.6803125,-182.64515625000007,8.685188769299353E-7
8.354524186785578E-14,-231.88734375,-174.438125,6.534919201872126E-7
8.271806125530275E-14,-223.6803125,-174.438125,1.0413267283306292E-6
4.2186211240204405E-14,-215.47328125000004,-199.05921875000013,9.16986800051257E-7
4.301339185275743E-14,-207.26625000000004,-199.0592187500001,1.3388121226063057E-6
-8.271806125530275E-15,-215.47328125000004,-190.85218750000007,1.1645796933026798E-6
-6.617444900424221E-15,-207.26625000000004,-190.85218750000007,1.7300537402040283E-6
-1.3648480107124955E-14,-166.23109374999999,-248.30140625000004,6.750336716569602E-7
-1.4062070413401469E-14,-158.02406250000004,-248.30140625000004,7.93938813490232E-7
