Equivalent radius	Count
nm	Exp
2.03E-10	0
6.09E-10	7
1.02E-09	10
1.42E-09	24
1.83E-09	32
2.23E-09	18
2.64E-09	26
3.05E-09	58
3.45E-09	38
3.86E-09	81
4.26E-09	70
4.67E-09	100
5.08E-09	128
5.48E-09	112
5.89E-09	191
6.30E-09	175
6.70E-09	230
7.11E-09	233
7.51E-09	211
7.92E-09	217
8.33E-09	203
8.73E-09	165
9.14E-09	182
9.54E-09	136
9.95E-09	110
1.04E-08	96
1.08E-08	79
1.12E-08	68
1.16E-08	50
1.20E-08	39
1.24E-08	40
1.28E-08	25
1.32E-08	20
1.36E-08	14
1.40E-08	7
1.44E-08	3
1.48E-08	1
1.52E-08	7
1.56E-08	2
1.60E-08	2
1.64E-08	1
1.69E-08	2
1.73E-08	0
1.77E-08	0
1.81E-08	0
1.85E-08	0
1.89E-08	0
1.93E-08	0
1.97E-08	0
2.01E-08	0
2.05E-08	1
2.09E-08	1
