Equivalent radius	Count
nm	Exp
1.14E-09	0
3.42E-09	0
5.70E-09	0
7.98E-09	8
1.03E-08	34
1.25E-08	13
1.48E-08	28
1.71E-08	20
1.94E-08	42
2.17E-08	31
2.39E-08	44
2.62E-08	56
2.85E-08	113
3.08E-08	71
3.31E-08	116
3.53E-08	89
3.76E-08	99
3.99E-08	148
4.22E-08	114
4.45E-08	86
4.67E-08	118
4.90E-08	90
5.13E-08	86
5.36E-08	72
5.59E-08	81
5.82E-08	37
6.04E-08	50
6.27E-08	37
6.50E-08	35
6.73E-08	28
6.96E-08	29
7.18E-08	11
7.41E-08	9
7.64E-08	7
7.87E-08	5
8.10E-08	3
8.32E-08	1
8.55E-08	1
8.78E-08	0
9.01E-08	1
9.24E-08	1
9.46E-08	0
9.69E-08	1
