Equivalent radius	Count
nm	Exp
1.64E-10	0
4.93E-10	0
8.22E-10	26
1.15E-09	18
1.48E-09	44
1.81E-09	46
2.14E-09	51
2.47E-09	36
2.80E-09	78
3.12E-09	61
3.45E-09	90
3.78E-09	130
4.11E-09	174
4.44E-09	195
4.77E-09	291
5.10E-09	231
5.43E-09	327
5.76E-09	363
6.08E-09	367
6.41E-09	325
6.74E-09	339
7.07E-09	295
7.40E-09	255
7.73E-09	226
8.06E-09	173
8.39E-09	157
8.72E-09	108
9.04E-09	75
9.37E-09	78
9.70E-09	48
1.00E-08	29
1.04E-08	24
1.07E-08	19
1.10E-08	12
1.13E-08	7
1.17E-08	2
1.20E-08	4
1.23E-08	2
1.27E-08	1
1.30E-08	1
1.33E-08	3
1.36E-08	0
1.40E-08	1
1.43E-08	0
1.46E-08	0
1.50E-08	1
1.53E-08	0
1.56E-08	0
1.60E-08	0
1.63E-08	0
1.66E-08	1
1.69E-08	0
1.73E-08	0
1.76E-08	0
1.79E-08	0
1.83E-08	0
1.86E-08	0
1.89E-08	0
1.92E-08	1
