"Pol","ang","mu","Best Radius","Cfrac","Error"
"p Pol",64.9,5.78,13.403760728749585,0.2929336944116871,1.8180058318166068
"p Pol",64.9,7.3,4.070458684539867,0.14859654919022686,5.984831503315773e-7
"p Pol",72.9,5.78,3.3606444622051925,-0.18730722335961125,4.878054847662216e-7
"p Pol",72.9,7.3,4.140529954178242,0.2077976527015009,5.945395260944402e-7
