"Pol","ang","mu","Best Radius","Cfrac","Error"
"p Pol",64.9,5.78,3.3636575315255075,0.1387900098599975,8.855352251091983e-7
"p Pol",64.9,7.3,4.097545355062904,0.14559633385341048,1.00663233454603e-6
"p Pol",72.9,5.78,1.6920908432843775,-3.8368163674973,1.0423720183170223e-10
"p Pol",72.9,7.3,4.175730449035684,0.20678152777191472,9.864110280693252e-7
