% Model,AuNP-5-78nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 12:59"
% Dimension,3
% Nodes,32726
% Expressions,1
% Description,Multislice
% X,Y,Z,Electric field norm
-5.459392042849982E-14,-239.90687499999996,-174.375625,3.9635113888076076E-7
-2.4401828070314313E-14,-231.71546874999996,-198.94984374999996,3.997232270521212E-7
-2.6469779601696882E-14,-223.52406249999996,-198.94984374999996,5.964538679657175E-7
-3.8050308177439267E-14,-231.71546874999993,-190.75843749999996,4.902659830153742E-7
-3.970466940254532E-14,-223.52406249999996,-190.75843749999996,7.451617948474973E-7
-6.203854594147706E-14,-166.18421874999996,-264.48109374999996,2.476580735344401E-7
-5.2939559203393765E-14,-166.18421874999999,-272.67249999999996,1.2975569003620237E-7
-6.121136532892404E-14,-157.9928124999999,-264.4810937499999,2.715881283502588E-7
-5.128519797828771E-14,-157.9928124999999,-272.6724999999999,1.1556105387368806E-7
-7.113753267956037E-14,-166.18421874999993,-256.2896874999999,4.2609496490667463E-7
-7.113753267956037E-14,-157.99281249999993,-256.2896874999999,4.967946325331623E-7
-7.858215819253762E-14,-182.56703124999993,-248.09828124999996,4.604485560813039E-7
-7.940933880509064E-14,-174.37562499999993,-248.09828124999996,5.665250882199689E-7
-8.602678370551487E-14,-182.56703124999993,-239.90687499999996,6.636054207810648E-7
-8.768114493062092E-14,-174.37562499999993,-239.90687499999996,8.270363703622748E-7
-6.286572655403009E-14,-198.94984374999996,-231.71546874999993,5.698386986671221E-7
-6.534726839168917E-14,-190.75843749999993,-231.71546874999993,7.486154504162071E-7
-4.466775307786349E-14,-198.94984374999993,-223.52406249999993,7.84929335062311E-7
-4.6322114302969543E-14,-190.75843749999993,-223.52406249999993,1.0431907317176753E-6
-2.853773113307945E-14,-215.33265624999999,-215.33265624999999,5.474884374883103E-7
-2.977850205190899E-14,-207.14124999999996,-215.33265624999996,7.681832008845718E-7
-1.4889251025954495E-14,-215.33265624999996,-207.14124999999996,7.169394388212261E-7
-1.654361225106055E-14,-207.14124999999996,-207.14124999999996,1.0196874680810096E-6
-1.4062070413401469E-14,-272.67249999999996,-149.80140624999996,4.205172352878709E-8
-1.4889251025954495E-14,-264.48109374999996,-149.80140624999999,7.162927183190515E-8
-1.5716431638507523E-14,-256.2896874999999,-149.80140624999999,1.270114578188962E-7
-5.6248281653605876E-14,-272.67249999999996,-141.60999999999996,5.205729420628358E-8
-5.6248281653605876E-14,-264.48109374999996,-141.60999999999999,6.9785046672851E-8
-5.6248281653605876E-14,-256.2896874999999,-141.61,1.1663574697869518E-7
-6.245213624775358E-14,-149.80140624999993,-264.4810937499999,3.097031021105306E-7
-5.376673981594679E-14,-149.80140624999996,-272.6724999999999,9.265841961056654E-8
-6.369290716658312E-14,-141.60999999999996,-264.48109374999996,3.583085303621127E-7
-5.6248281653605876E-14,-141.60999999999996,-272.67249999999996,1.522562520323294E-7
-7.113753267956037E-14,-149.80140624999996,-256.2896874999999,5.500818703774048E-7
-7.113753267956037E-14,-141.60999999999996,-256.2896874999999,6.10043656196572E-7
-1.654361225106055E-14,-248.0982812499999,-166.18421875000004,2.4603710340137373E-7
-1.7370792863613578E-14,-239.90687499999996,-166.18421874999999,4.029983449250643E-7
2.2333876538931744E-14,-248.09828124999996,-157.99281249999996,2.582453527930046E-7
1.985233470127266E-14,-239.90687499999996,-157.99281249999996,4.311490721737675E-7
-4.673570460924606E-14,-231.71546874999999,-182.56703124999999,5.552794571586186E-7
-4.79764755280756E-14,-223.52406249999999,-182.56703125,8.656636868242939E-7
-5.542110104105285E-14,-231.71546874999993,-174.37562500000004,6.514516810636789E-7
