% Model,AuNP-5-78nm-inc.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:10"
% Dimension,3
% Nodes,33178
% Expressions,1
% Description,Multislice
% X,Y,Z,Electric field norm
-2.8124140826802938E-14,-272.67249999999996,-272.67249999999996,3.9566571339486464E-9
-4.9630836753181654E-14,-272.67249999999996,-264.48109374999996,1.227166167428388E-8
-6.038418471637101E-14,-264.48109374999996,-264.48109374999996,1.8578255688523047E-8
-4.9630836753181654E-14,-264.48109374999996,-272.67249999999996,1.4233004248548526E-8
-7.113753267956037E-14,-256.2896874999999,-264.48109374999996,2.9123371363242156E-8
-7.113753267956037E-14,-256.2896874999999,-272.67249999999996,2.5948947422386746E-8
-7.113753267956037E-14,-272.67249999999996,-256.2896874999999,2.0847447307034258E-8
-7.113753267956037E-14,-264.48109374999996,-256.2896874999999,2.5593716837079585E-8
-7.113753267956037E-14,-256.2896874999999,-256.2896874999999,3.5570252391822646E-8
-6.452008777913615E-14,-272.67249999999996,-248.09828124999996,2.8146491616211867E-8
-6.61744490042422E-14,-264.48109374999996,-248.09828124999996,3.3227554685360326E-8
-6.782881022934826E-14,-256.2896874999999,-248.09828124999996,4.502031554967636E-8
-5.790264287871192E-14,-272.67249999999996,-239.90687499999996,3.3851281440875994E-8
-6.121136532892404E-14,-264.48109374999996,-239.90687499999996,4.051485854443897E-8
-6.452008777913615E-14,-256.2896874999999,-239.90687499999996,5.630378387610083E-8
-7.279189390466642E-14,-248.0982812499999,-264.48109374999996,4.1582252280122414E-8
-7.444625512977248E-14,-248.0982812499999,-272.67249999999996,3.778007190197919E-8
-7.444625512977248E-14,-239.90687499999996,-264.48109374999996,5.523000909899537E-8
-7.775497757998459E-14,-239.9068749999999,-272.67249999999996,5.002761907082214E-8
-7.113753267956037E-14,-248.09828124999996,-256.2896874999999,5.008113589853606E-8
-7.113753267956037E-14,-239.90687499999996,-256.2896874999999,6.720623367862734E-8
-4.301339185275743E-14,-272.67249999999996,-231.71546874999996,3.7940326037528E-8
-4.590852399669303E-14,-264.48109374999996,-231.71546874999993,4.765255478552949E-8
