% Model,AuNP-5-78nm-inc.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:09"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.2700443885075235,4.0576485751473107E-4
460,460,0.2687898682492156,3.8046801711362894E-4
470,470,0.2686863590057434,3.608974557126637E-4
480,480,0.27589291850775066,3.496617639446141E-4
490,490,0.2950384398379637,3.76301558727955E-4
500,500,0.33056420279577203,4.251267422658124E-4
509.99999999999994,509.99999999999994,0.38148555530563477,5.58765377560611E-4
519.9999999999999,519.9999999999999,0.4249143376187555,7.246681524755224E-4
520.25,520.25,0.4255209467587651,6.99910396577565E-4
520.5,520.5,0.42612549074636713,7.423426648944886E-4
520.75,520.75,0.42667143198315255,7.233275686902207E-4
521,521,0.4272439218099749,7.209763385850106E-4
521.2499999999999,521.2499999999999,0.4277941261413763,7.152049683371658E-4
521.4999999999999,521.4999999999999,0.42833395230234633,7.232418522510261E-4
521.75,521.75,0.4288467336818139,7.329906253877559E-4
522,522,0.429309295512368,7.446737961250673E-4
522.25,522.25,0.4297978650488186,7.149990052136887E-4
522.5,522.5,0.43022665632063195,7.711891639238001E-4
522.7499999999999,522.7499999999999,0.4306924140793272,7.582263609794965E-4
523,523,0.43114143482199513,7.591096573630691E-4
523.25,523.25,0.431166753504924,7.532021320701702E-4
523.5,523.5,0.4312023589910743,7.637388047050613E-4
523.75,523.75,0.43118061779801303,7.678956434872122E-4
523.9999999999999,523.9999999999999,0.43120036314765753,7.649359438171593E-4
524.2499999999999,524.2499999999999,0.43116637760677523,7.693183765954053E-4
524.5,524.5,0.431109941396868,7.746180588025208E-4
524.75,524.75,0.4310001231432523,7.858928231408292E-4
525,525,0.4309569621946505,7.503140482421112E-4
525.25,525.25,0.4308649238951953,7.786102226128569E-4
525.4999999999999,525.4999999999999,0.4307033528987469,7.976893759390007E-4
525.75,525.75,0.4305630504291003,7.609941925461048E-4
526,526,0.4303859477852435,7.797954359520638E-4
526.25,526.25,0.43017960738414684,7.893895244102436E-4
526.5,526.5,0.4299915444756124,7.805835715087006E-4
526.75,526.75,0.4297527766436791,7.841485179926215E-4
526.9999999999999,526.9999999999999,0.42946588831891763,7.893507002004407E-4
527.25,527.25,0.429217579319874,7.924959546960923E-4
527.5,527.5,0.42894212218420796,7.810768632095537E-4
527.75,527.75,0.42861437863120705,7.87072372296872E-4
528,528,0.4282803156075325,8.026610540908857E-4
528.2499999999999,528.2499999999999,0.4276521800234849,8.069562843389794E-4
528.4999999999999,528.4999999999999,0.42705164728037726,8.109359245857728E-4
528.75,528.75,0.4263675358898918,7.898002498835721E-4
529,529,0.42568956039719125,7.782166996268191E-4
529.25,529.25,0.4249556287591611,8.025793397583338E-4
529.5,529.5,0.42427975277187063,8.016836843953287E-4
529.7499999999999,529.7499999999999,0.42354384074402146,8.07759190932109E-4
530,530,0.42278556082879004,8.087419473157658E-4
530.25,530.25,0.4220276845775799,7.973821336474011E-4
530.5,530.5,0.42123454139417454,8.243093708472494E-4
530.75,530.75,0.4203983667415355,7.886012638113693E-4
531,531,0.4196195223073344,7.957730803999411E-4
531.2499999999999,531.2499999999999,0.4188014001221977,7.911479188084221E-4
531.5,531.5,0.4178647635431458,8.093848041765183E-4
531.75,531.75,0.41699775387479565,8.167723948913221E-4
532,532,0.41614161678204536,8.242348581812867E-4
532.25,532.25,0.41520118546138346,8.078868376840712E-4
532.4999999999999,532.4999999999999,0.4142332285891653,8.181331437306235E-4
532.7499999999999,532.7499999999999,0.41328175154017605,8.083708625213662E-4
533,533,0.4123120043396848,8.056868651034943E-4
533.25,533.25,0.41121104132278974,7.85923875456981E-4
533.5,533.5,0.41001537845339125,7.994909583409478E-4
533.75,533.75,0.40891666859967174,8.060838738300798E-4
533.9999999999999,533.9999999999999,0.40768052714603836,8.096702536717919E-4
534.25,534.25,0.40650690119303295,7.924662612646727E-4
534.5,534.5,0.40529953663770185,8.068271070031192E-4
534.75,534.75,0.4040976673566106,7.860267564592723E-4
535,535,0.40286430210834234,7.944563518694367E-4
535.25,535.25,0.40160950603393836,7.935260135063281E-4
535.4999999999999,535.4999999999999,0.4003476919803381,7.876359770392935E-4
535.75,535.75,0.39909004091679207,7.880149627588893E-4
536,536,0.3977745342324301,7.839530103012731E-4
536.25,536.25,0.3965165144355634,7.895363082951307E-4
536.5,536.5,0.39519388011774026,7.860625867129587E-4
536.7499999999999,536.7499999999999,0.39390879288614866,7.801571557631325E-4
536.9999999999999,536.9999999999999,0.39252871559083635,7.93919682613564E-4
537.25,537.25,0.39119009622788375,7.586871875341362E-4
537.5,537.5,0.38981455180760866,7.923346324451237E-4
537.75,537.75,0.38841902622862856,7.681352016744357E-4
538,538,0.3870540343686754,7.92398187855808E-4
538.2499999999999,538.2499999999999,0.3855911495640871,7.867469403815986E-4
538.5,538.5,0.3841814587606779,7.787548407076584E-4
538.75,538.75,0.38269025295066317,7.990765793883807E-4
539,539,0.3812594517968465,7.816072494820798E-4
539.25,539.25,0.37973666900383674,7.854398026663384E-4
539.5,539.5,0.37840544306306484,7.633626838912319E-4
539.7499999999999,539.7499999999999,0.37675009380692986,7.688545978535525E-4
540,540,0.3752662951656645,7.795435090170279E-4
550,550,0.3123305135334829,6.992471975408965E-4
560,560,0.25214842665361026,6.04064291072092E-4
570,570,0.19927147616050753,5.085591205441515E-4
580,580,0.15559398889578063,4.337300847690357E-4
590,590,0.12155857306641266,3.6796700596825884E-4
600,600,0.0961001839967443,3.0804036914941447E-4
610,610,0.07728370284407708,2.6159072370421913E-4
619.9999999999999,619.9999999999999,0.06322664261155528,2.2629108745095478E-4
629.9999999999999,629.9999999999999,0.052497081277945584,1.966888215194898E-4
639.9999999999999,639.9999999999999,0.04420233017550838,1.7302265597368433E-4
650,650,0.03774696673884976,1.5379049683063417E-4
660,660,0.03275959807690097,1.362551158468264E-4
670,670,0.028919234905270978,1.2328289162457165E-4
680,680,0.025923162447420652,1.0965662282765664E-4
690,690,0.023521531414500293,1.0264880954657246E-4
700,700,0.021536258337113534,9.186084861093017E-5
