% Model,Supported-Internal-p025.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:10"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,450,450,0.6827122393896136,2.4937295137723685E-4
1.13271868454432,460,460,0.6748695836813545,2.3845715440169813E-4
1.13271868454432,470,470,0.6693790580355432,2.177201439320476E-4
1.13271868454432,480,480,0.6807280387664056,2.007161051672381E-4
1.13271868454432,490,490,0.7190587785971846,2.4568736909281135E-4
1.13271868454432,500,500,0.7944774399903509,2.4841950834666326E-4
1.13271868454432,509.99999999999994,509.99999999999994,0.9082601101865188,3.126502531357433E-4
1.13271868454432,519.9999999999999,519.9999999999999,1.0205230511100563,4.289788131594136E-4
1.13271868454432,520.25,520.25,1.0225324608958124,3.8897253791977086E-4
1.13271868454432,520.5,520.5,1.0247965406617037,3.4989747360388186E-4
1.13271868454432,520.75,520.75,1.0269548182295656,3.8125261894772755E-4
1.13271868454432,521,521,1.0287578261443784,3.984961857223547E-4
1.13271868454432,521.2499999999999,521.2499999999999,1.0305959757608094,4.172477154943321E-4
1.13271868454432,521.4999999999999,521.4999999999999,1.0324956895402784,4.1748377787151613E-4
1.13271868454432,521.75,521.75,1.0342746425022267,4.2300974180466713E-4
1.13271868454432,522,522,1.0361808536504382,4.0704777573021954E-4
1.13271868454432,522.25,522.25,1.0377711634782725,3.859855413966039E-4
1.13271868454432,522.5,522.5,1.0389433231854295,4.921799863448666E-4
1.13271868454432,522.7499999999999,522.7499999999999,1.0408110881249026,3.9548878412302323E-4
1.13271868454432,523,523,1.0420545501926182,4.6972821798181347E-4
1.13271868454432,523.25,523.25,1.0435200158311175,4.499463271831339E-4
1.13271868454432,523.5,523.5,1.0448294838335874,4.504583218635957E-4
1.13271868454432,523.75,523.75,1.0460977633512898,4.799181010035391E-4
1.13271868454432,523.9999999999999,523.9999999999999,1.0473849699415176,4.4617303571734717E-4
1.13271868454432,524.2499999999999,524.2499999999999,1.048332074622149,4.2680267002867864E-4
1.13271868454432,524.5,524.5,1.0496204921001053,3.8199964659520256E-4
1.13271868454432,524.75,524.75,1.0503881987067218,3.8336036125276345E-4
1.13271868454432,525,525,1.051477059843022,4.5219557690115425E-4
1.13271868454432,525.25,525.25,1.0522802628135082,4.422692885684244E-4
1.13271868454432,525.4999999999999,525.4999999999999,1.052958451185997,5.094387132771235E-4
1.13271868454432,525.75,525.75,1.0536926174100303,4.14482675171718E-4
1.13271868454432,526,526,1.0544673462924288,4.431966131384599E-4
1.13271868454432,526.25,526.25,1.054918989257972,4.6229419764053006E-4
1.13271868454432,526.5,526.5,1.0553005128777126,4.0320564305771137E-4
1.13271868454432,526.75,526.75,1.056005961720609,4.767725312451137E-4
1.13271868454432,526.9999999999999,526.9999999999999,1.0565787406683023,5.074732657487949E-4
1.13271868454432,527.25,527.25,1.0563266910886397,5.204693847192648E-4
1.13271868454432,527.5,527.5,1.0571334295442238,5.255394046989928E-4
1.13271868454432,527.75,527.75,1.0571486874624603,4.600351497501015E-4
1.13271868454432,528,528,1.0571217999822335,5.548822912117784E-4
1.13271868454432,528.2499999999999,528.2499999999999,1.0571597401664956,4.5946443034474826E-4
1.13271868454432,528.4999999999999,528.4999999999999,1.0569445981502994,5.062000457161254E-4
1.13271868454432,528.75,528.75,1.0571749707916451,5.24515642183249E-4
1.13271868454432,529,529,1.0569730095416618,4.958107767908129E-4
1.13271868454432,529.25,529.25,1.0566580683670923,4.5617563753437855E-4
1.13271868454432,529.5,529.5,1.0566373806876221,3.3421646096142786E-4
1.13271868454432,529.7499999999999,529.7499999999999,1.0563697955261573,4.4605333556120455E-4
1.13271868454432,530,530,1.0557360786742918,4.4508709388948114E-4
1.13271868454432,530.25,530.25,1.0554469643927715,4.741088191005097E-4
1.13271868454432,530.5,530.5,1.0550213125999808,4.115421879464337E-4
1.13271868454432,530.75,530.75,1.054279046472405,4.7082981755290214E-4
1.13271868454432,531,531,1.053971218470468,5.758542169751875E-4
1.13271868454432,531.2499999999999,531.2499999999999,1.0528043461816556,5.207727911035202E-4
1.13271868454432,531.5,531.5,1.0521496570751412,4.6148976530485376E-4
1.13271868454432,531.75,531.75,1.051260208537834,5.041853551366748E-4
1.13271868454432,532,532,1.0516950281281432,4.7894720282862837E-4
1.13271868454432,532.25,532.25,1.0495698725553915,5.102699250116992E-4
1.13271868454432,532.4999999999999,532.4999999999999,1.048523263121201,4.901993909272924E-4
1.13271868454432,532.7499999999999,532.7499999999999,1.047402047806111,5.075285986712693E-4
1.13271868454432,533,533,1.0463439857981036,5.362164315035685E-4
1.13271868454432,533.25,533.25,1.0455018097612616,4.6855599353689E-4
1.13271868454432,533.5,533.5,1.044268639333776,4.8107514727392285E-4
1.13271868454432,533.75,533.75,1.0427240323373563,4.6923125899520085E-4
1.13271868454432,533.9999999999999,533.9999999999999,1.0417208809717213,4.239816530088848E-4
1.13271868454432,534.25,534.25,1.0402128514792044,4.723610301759872E-4
1.13271868454432,534.5,534.5,1.038832218391424,4.588063955793111E-4
1.13271868454432,534.75,534.75,1.0375219830007103,4.174616493678969E-4
1.13271868454432,535,535,1.036244116538999,4.727377928593761E-4
1.13271868454432,535.25,535.25,1.034175472488675,4.8599050904179445E-4
1.13271868454432,535.4999999999999,535.4999999999999,1.0325205980515866,4.582303699356834E-4
1.13271868454432,535.75,535.75,1.0312557840613126,4.247988824035135E-4
1.13271868454432,536,536,1.0294493813152925,4.0293218837142815E-4
1.13271868454432,536.25,536.25,1.0277631123521134,5.268835788221349E-4
1.13271868454432,536.5,536.5,1.025754323230408,4.879631643413342E-4
1.13271868454432,536.7499999999999,536.7499999999999,1.0244909558440323,4.7082700777089466E-4
1.13271868454432,536.9999999999999,536.9999999999999,1.0224263349042477,4.985022925262692E-4
1.13271868454432,537.25,537.25,1.0201604693518693,4.410961009810291E-4
1.13271868454432,537.5,537.5,1.01824002452892,5.454236298176927E-4
1.13271868454432,537.75,537.75,1.0166539137337687,5.071928738880538E-4
1.13271868454432,538,538,1.0143008524112842,5.070924458739229E-4
1.13271868454432,538.2499999999999,538.2499999999999,1.0121774199206184,5.022691727183492E-4
1.13271868454432,538.5,538.5,1.0101415855941551,4.60912499033318E-4
1.13271868454432,538.75,538.75,1.0079378169179063,5.636898278027311E-4
1.13271868454432,539,539,1.0060321293012207,6.057732409683184E-4
1.13271868454432,539.25,539.25,1.0036917280562971,4.941079126523934E-4
1.13271868454432,539.5,539.5,1.001448637530777,5.02838847550758E-4
1.13271868454432,539.7499999999999,539.7499999999999,0.9993337040044515,4.996073055812278E-4
1.13271868454432,540,540,0.997066453412204,5.088456440628967E-4
1.13271868454432,550,550,0.8880208672287837,4.615955224538103E-4
1.13271868454432,560,560,0.7671882321721228,4.459760557928847E-4
1.13271868454432,570,570,0.646262002553459,3.6797674690099765E-4
1.13271868454432,580,580,0.5336544789858876,3.5658459597834015E-4
1.13271868454432,590,590,0.4360852557443965,3.1889264493170844E-4
1.13271868454432,600,600,0.35667475295519735,2.341973794627198E-4
1.13271868454432,610,610,0.2944615621986745,2.0886763438355605E-4
1.13271868454432,619.9999999999999,619.9999999999999,0.24645929802974786,1.8960089819245813E-4
1.13271868454432,629.9999999999999,629.9999999999999,0.208914488323203,1.4988355655683278E-4
1.13271868454432,639.9999999999999,639.9999999999999,0.17941959923619322,1.361685118370556E-4
1.13271868454432,650,650,0.15589955248977194,1.2892231323967181E-4
1.13271868454432,660,660,0.13714884656606607,1.102182760913497E-4
1.13271868454432,670,670,0.12210057496327935,1.1902398889490153E-4
1.13271868454432,680,680,0.1099856586933287,9.295613672574762E-5
1.13271868454432,690,690,0.09996855551169882,7.662324543291171E-5
1.13271868454432,700,700,0.09156225291200153,7.926756552593078E-5
