% Model,Supported-Internal-m050.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:01"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,450,450,0.8105413813807462,2.768619575859838E-4
1.13271868454432,460,460,0.7998470178198768,2.666246560683696E-4
1.13271868454432,470,470,0.7911038697381905,2.1472752971587623E-4
1.13271868454432,480,480,0.8023600656403895,2.1981120482969353E-4
1.13271868454432,490,490,0.8460268289419252,2.2585736240007207E-4
1.13271868454432,500,500,0.9343133467574961,2.4830734912911117E-4
1.13271868454432,509.99999999999994,509.99999999999994,1.074427566659986,2.7599085199831835E-4
1.13271868454432,519.9999999999999,519.9999999999999,1.2273497562607063,3.788957927735335E-4
1.13271868454432,520.25,520.25,1.2304970413529146,4.062798072005876E-4
1.13271868454432,520.5,520.5,1.2338003059401679,4.173453694274372E-4
1.13271868454432,520.75,520.75,1.2368933958166861,3.9336909688209845E-4
1.13271868454432,521,521,1.2400634015293748,4.2181329228004977E-4
1.13271868454432,521.2499999999999,521.2499999999999,1.2428480749288693,4.248727530665151E-4
1.13271868454432,521.4999999999999,521.4999999999999,1.2458593024927935,4.0996931909875945E-4
1.13271868454432,521.75,521.75,1.2488488258433685,4.084029253137036E-4
1.13271868454432,522,522,1.2517465536432655,3.8825916709621963E-4
1.13271868454432,522.25,522.25,1.2544015863283615,4.499100823803449E-4
1.13271868454432,522.5,522.5,1.2570214526219075,4.122055709321197E-4
1.13271868454432,522.7499999999999,522.7499999999999,1.2595467766133077,4.425144075232155E-4
1.13271868454432,523,523,1.2623847701411115,3.966256481926919E-4
1.13271868454432,523.25,523.25,1.2647023775248627,4.456394888690456E-4
1.13271868454432,523.5,523.5,1.2672598872775809,3.8760478161092664E-4
1.13271868454432,523.75,523.75,1.2693757477760022,3.923237482677143E-4
1.13271868454432,523.9999999999999,523.9999999999999,1.2717255859250653,4.3791622770958133E-4
1.13271868454432,524.2499999999999,524.2499999999999,1.27386283188223,3.7292403278539875E-4
1.13271868454432,524.5,524.5,1.2758120869999185,4.177626157141234E-4
1.13271868454432,524.75,524.75,1.2779021030579978,4.5632221785192763E-4
1.13271868454432,525,525,1.2800403682178922,4.470766325792401E-4
1.13271868454432,525.25,525.25,1.28166082122174,3.8812074017574447E-4
1.13271868454432,525.4999999999999,525.4999999999999,1.2835304993476204,4.652779884304855E-4
1.13271868454432,525.75,525.75,1.2855069291575691,3.961409023031201E-4
1.13271868454432,526,526,1.2871891990021103,4.3912826246106417E-4
1.13271868454432,526.25,526.25,1.2883296673789284,4.544459591406812E-4
1.13271868454432,526.5,526.5,1.2899464225221564,4.1529496290422876E-4
1.13271868454432,526.75,526.75,1.291505536320745,4.6510061984117733E-4
1.13271868454432,526.9999999999999,526.9999999999999,1.2930322313375098,4.885529635153212E-4
1.13271868454432,527.25,527.25,1.2941699622365368,4.5176170847555824E-4
1.13271868454432,527.5,527.5,1.295006550099818,4.8503084278685095E-4
1.13271868454432,527.75,527.75,1.296196614957929,4.433449815208759E-4
1.13271868454432,528,528,1.2974592441987436,4.488827067481109E-4
1.13271868454432,528.2499999999999,528.2499999999999,1.298293287064971,4.73431684859156E-4
1.13271868454432,528.4999999999999,528.4999999999999,1.2989290636243018,4.438861279356993E-4
1.13271868454432,528.75,528.75,1.2999506199857216,3.972447530247864E-4
1.13271868454432,529,529,1.30078713041758,4.4759912413426555E-4
1.13271868454432,529.25,529.25,1.301458471172793,4.681441974402633E-4
1.13271868454432,529.5,529.5,1.3018469313512337,4.4411414505767183E-4
1.13271868454432,529.7499999999999,529.7499999999999,1.3022822463946127,4.911881145258693E-4
1.13271868454432,530,530,1.3029858180624008,4.440187222921951E-4
1.13271868454432,530.25,530.25,1.303036018933644,5.157182667658763E-4
1.13271868454432,530.5,530.5,1.3033498148930451,4.8034628684977574E-4
1.13271868454432,530.75,530.75,1.303442225824658,5.204152121984389E-4
1.13271868454432,531,531,1.3039764395449591,4.5571309347494947E-4
1.13271868454432,531.2499999999999,531.2499999999999,1.3035907628264223,4.554880406662419E-4
1.13271868454432,531.5,531.5,1.3038082242649507,4.867970993410343E-4
1.13271868454432,531.75,531.75,1.30372364838207,5.106088896109449E-4
1.13271868454432,532,532,1.303245971434448,5.495777713550239E-4
1.13271868454432,532.25,532.25,1.3030367530594182,4.8618455689693164E-4
1.13271868454432,532.4999999999999,532.4999999999999,1.3026739308574946,5.21515734243758E-4
1.13271868454432,532.7499999999999,532.7499999999999,1.3022930308998584,5.250427286897017E-4
1.13271868454432,533,533,1.3018524390397193,5.320593956304173E-4
1.13271868454432,533.25,533.25,1.30134100122198,4.940864826200187E-4
1.13271868454432,533.5,533.5,1.300737985984119,4.4918189622116905E-4
1.13271868454432,533.75,533.75,1.2999089070693584,5.055880194070468E-4
1.13271868454432,533.9999999999999,533.9999999999999,1.29937436566605,5.293525860020781E-4
1.13271868454432,534.25,534.25,1.2982797733502507,4.29206224144975E-4
1.13271868454432,534.5,534.5,1.29758496396747,5.414209195089107E-4
1.13271868454432,534.75,534.75,1.2964973647292066,4.4178067944159995E-4
1.13271868454432,535,535,1.2956096114590117,5.286801332069982E-4
1.13271868454432,535.25,535.25,1.2944554417995655,5.136747738921748E-4
1.13271868454432,535.4999999999999,535.4999999999999,1.2934207541589164,5.296013595731358E-4
1.13271868454432,535.75,535.75,1.2919815653957432,4.7235512650825454E-4
1.13271868454432,536,536,1.2909045034318256,4.670284889377277E-4
1.13271868454432,536.25,536.25,1.289601379258444,4.862874740626024E-4
1.13271868454432,536.5,536.5,1.2878393196889113,4.8241083235352314E-4
1.13271868454432,536.7499999999999,536.7499999999999,1.286447884366096,4.7083030681577964E-4
1.13271868454432,536.9999999999999,536.9999999999999,1.2850376465837539,5.054676978480051E-4
1.13271868454432,537.25,537.25,1.283619278490329,5.107912811846862E-4
1.13271868454432,537.5,537.5,1.2816194612029086,4.8001962862786167E-4
1.13271868454432,537.75,537.75,1.2799481124182281,5.591658024274469E-4
1.13271868454432,538,538,1.2782549130138696,5.186672886671461E-4
1.13271868454432,538.2499999999999,538.2499999999999,1.2768244571126,5.477411183373276E-4
1.13271868454432,538.5,538.5,1.274515951832515,4.912724751141586E-4
1.13271868454432,538.75,538.75,1.2727685572774858,5.820512019240168E-4
1.13271868454432,539,539,1.2707586346946287,4.829934542174245E-4
1.13271868454432,539.25,539.25,1.268520755765959,5.149403530952315E-4
1.13271868454432,539.5,539.5,1.2666897160251258,4.8635360710010583E-4
1.13271868454432,539.7499999999999,539.7499999999999,1.2645229415654367,4.948086895060412E-4
1.13271868454432,540,540,1.2627674509830273,4.97370482187464E-4
1.13271868454432,550,550,1.1479133956615009,5.444436888504411E-4
1.13271868454432,560,560,1.0061780353996046,4.4002921414191875E-4
1.13271868454432,570,570,0.8557069097070701,4.225812098577444E-4
1.13271868454432,580,580,0.7106729884810246,4.013660601665007E-4
1.13271868454432,590,590,0.5801517532582356,3.398275720666488E-4
1.13271868454432,600,600,0.47292906499746956,2.70316243551874E-4
1.13271868454432,610,610,0.38890046942827394,2.3973783554605228E-4
1.13271868454432,619.9999999999999,619.9999999999999,0.3238905444668838,2.0507693533931048E-4
1.13271868454432,629.9999999999999,629.9999999999999,0.27347252933492616,2.0113579227447638E-4
1.13271868454432,639.9999999999999,639.9999999999999,0.23395728112111125,1.6296006087910964E-4
1.13271868454432,650,650,0.20252935818305257,1.6018674839497388E-4
1.13271868454432,660,660,0.177570559036401,1.3387318759556065E-4
1.13271868454432,670,670,0.1576106624221578,1.2281642636889764E-4
1.13271868454432,680,680,0.14147089907198757,1.1948945541586903E-4
1.13271868454432,690,690,0.12821803985283403,1.0017991855345394E-4
1.13271868454432,700,700,0.11719199120214453,1.0458433652005782E-4
