"Pol","ang","mu","Best RefIndex","Error"
"p Pol",64.9,5.78,1.7094341794460521,9.235356108185927
"p Pol",64.9,7.3,1.3439199786927036,0.4762004896182669
"p Pol",72.9,5.78,1.2964750922356063,6.607556166099761e-7
"p Pol",72.9,7.3,1.2958947610659364,8.378898506493362e-7
