% Model,AuDimmer-7-30nm-14nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 14 2025, 16:23"
% Dimension,3
% Nodes,18679
% Expressions,1
% Description,Slice
% X,Y,Z,Electric field norm
0,-310.59999999999997,-310.59999999999997,1.650147861800304E-8
0,-310.59999999999997,-302.36562499999997,5.048903666012142E-8
-1.9025154088719633E-14,-302.36562499999997,-302.36562499999997,7.702056781165839E-8
-3.5568766339780184E-14,-302.36562499999997,-310.59999999999997,5.978541114168955E-8
-3.8050308177439267E-14,-294.13125,-302.36562499999997,1.2095341747367542E-7
-7.113753267956037E-14,-294.13124999999997,-310.59999999999997,1.0861371924649343E-7
0,-310.6,-294.1312499999999,8.595505821204435E-8
-2.4815418376590826E-15,-302.36562499999997,-294.1312499999999,1.0558187057258522E-7
-4.963083675318165E-15,-294.13125,-294.1312499999999,1.468476691391572E-7
6.617444900424221E-15,-310.6,-285.89687499999997,1.1660237442063568E-7
4.1359030627651376E-15,-302.36562499999997,-285.89687499999997,1.3738156430470328E-7
1.6543612251060552E-15,-294.13125,-285.89687499999997,1.8601486008958534E-7
1.3234889800848441E-14,-310.6,-277.6625,1.4117255077970738E-7
1.0753347963189358E-14,-302.36562499999997,-277.6625,1.6825594155745024E-7
8.271806125530275E-15,-294.13125,-277.6625,2.3302808786381557E-7
-1.6957202557337064E-14,-285.89687499999997,-302.36562499999997,1.722687051183841E-7
-2.729696021424991E-14,-285.89687499999997,-310.59999999999997,1.576460164459435E-7
4.1359030627651376E-15,-277.66249999999997,-302.3656249999999,2.2873378477977072E-7
1.654361225106055E-14,-277.6624999999999,-310.5999999999999,2.0834376147732174E-7
-6.617444900424221E-15,-285.896875,-294.1312499999999,2.0585327103504955E-7
-8.271806125530275E-15,-277.6625,-294.1312499999999,2.764095415889446E-7
4.8803656140628627E-14,-310.6,-269.42812499999997,1.5963359358977482E-7
4.7562885221799085E-14,-302.36562499999997,-269.42812499999997,1.9922143488495532E-7
4.6322114302969543E-14,-294.13125,-269.42812499999997,2.9022769110312405E-7
8.437242248040881E-14,-310.6,-261.1937499999999,1.7288937430320668E-7
8.437242248040881E-14,-302.36562499999997,-261.1937499999999,2.3253941769764613E-7
8.437242248040881E-14,-294.13125,-261.1937499999999,3.603557668475514E-7
-4.135903062765138E-16,-285.89687499999997,-285.89687499999997,2.6233013896264947E-7
-2.4815418376590826E-15,-277.6625,-285.89687499999997,3.584389415998528E-7
