% Model,AuDimmer-7-30nm-04nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 13 2025, 16:29"
% Dimension,3
% Nodes,17977
% Expressions,1
% Description,Slice
% X,Y,Z,Electric field norm
-6.948317145445431E-14,-295.66249999999997,-178.85,9.974548735441758E-7
-3.4741585727227156E-14,-187.19374999999997,-304.0062499999999,2.118998262846671E-6
-1.2407709188295414E-14,-187.19375,-312.3499999999999,6.84298254301085E-7
-4.2186211240204405E-14,-178.85,-304.0062499999999,2.454948792029785E-6
-2.8124140826802938E-14,-178.85,-312.3499999999999,1.0007469368171623E-6
-5.70754622661589E-14,-187.19374999999997,-295.6624999999999,3.717186023439123E-6
-5.6248281653605876E-14,-178.85,-295.6624999999999,4.17008588031423E-6
-8.933550615572698E-14,-203.88124999999994,-287.31874999999997,4.433765339875007E-6
-8.685396431806789E-14,-195.53749999999994,-287.31874999999997,5.2620222127124465E-6
-1.1911400820763596E-13,-203.88124999999997,-278.975,6.5115619266301025E-6
-1.1580528575742385E-13,-195.53749999999997,-278.975,7.832656487584347E-6
-6.741521992307174E-14,-287.31874999999997,-203.88124999999997,1.814128037126509E-6
-6.534726839168917E-14,-278.9749999999999,-203.88124999999997,2.914382502861102E-6
-2.2333876538931744E-14,-287.31874999999997,-195.53749999999997,1.954696249152468E-6
-1.985233470127266E-14,-278.9749999999999,-195.53749999999997,3.1946004723975747E-6
-1.3152171739593138E-13,-270.6312499999999,-220.5687499999999,3.7693990995091147E-6
-1.3152171739593138E-13,-262.28749999999997,-220.56875,5.768583139469109E-6
-1.1001502146955267E-13,-270.6312499999999,-212.225,4.465515167706922E-6
-1.0918784085699964E-13,-262.28749999999997,-212.225,6.96493882640249E-6
-1.2573145310806018E-13,-253.94374999999997,-237.25624999999997,5.8888201227286866E-6
-1.232499112704011E-13,-245.6,-237.2562499999999,8.499515260318486E-6
-1.50546871484651E-13,-253.94374999999997,-228.91249999999997,7.484566786984307E-6
-1.472381490344389E-13,-245.6,-228.91249999999997,1.0966065522910372E-5
-1.3607121076497303E-13,-220.56874999999997,-270.63124999999997,6.255714508737763E-6
-1.3317607862103743E-13,-212.22499999999994,-270.63124999999997,7.93304265649615E-6
-1.4641096842188587E-13,-220.56874999999997,-262.2875,8.81598460911235E-6
-1.439294265842268E-13,-212.22499999999994,-262.28749999999997,1.1314593741212673E-5
-1.2531786280178367E-13,-237.25625,-253.94374999999997,6.941626114894269E-6
-1.2242273065784807E-13,-228.91249999999997,-253.94374999999997,9.387053207046604E-6
-9.760731228125725E-14,-237.25624999999997,-245.59999999999988,9.335166473040656E-6
-9.59529510561512E-14,-228.91249999999997,-245.59999999999988,1.2770554447775194E-5
-3.846389848371578E-14,-287.31874999999997,-187.19374999999997,1.8610353248207288E-6
-2.977850205190899E-14,-278.975,-187.19375,3.066151314396425E-6
-5.459392042849982E-14,-287.31874999999997,-178.85,1.862068465506093E-6
-3.970466940254532E-14,-278.975,-178.85000000000002,3.106098324141633E-6
-8.561319339923835E-14,-187.19374999999997,-287.31874999999997,5.918934934948321E-6
-8.437242248040881E-14,-178.85,-287.31874999999997,6.6542605527320686E-6
-1.141509245323178E-13,-187.19375,-278.975,8.927233975908009E-6
-1.1249656330721175E-13,-178.85000000000002,-278.975,1.0184715070325068E-5
-1.2986735617082532E-13,-203.88124999999994,-270.63124999999997,9.809443378825615E-6
-1.265586337206132E-13,-195.53749999999994,-270.63124999999997,1.1949117109587046E-5
-1.4062070413401468E-13,-203.88124999999994,-262.28749999999997,1.4269942939238462E-5
-1.3731198168380257E-13,-195.53749999999994,-262.28749999999997,1.763885949413171E-5
-6.369290716658312E-14,-270.6312499999999,-203.88124999999997,4.781846750508743E-6
-6.203854594147706E-14,-262.28749999999997,-203.88124999999997,7.617041389564517E-6
-1.7370792863613578E-14,-270.6312499999999,-195.53749999999997,5.3781041310871835E-6
-1.4889251025954495E-14,-262.28749999999997,-195.53749999999997,8.743060353559057E-6
-1.294537658645488E-13,-253.94374999999997,-220.56874999999997,9.035648976369947E-6
-1.2738581433316624E-13,-245.6,-220.56875,1.3586206429642906E-5
-1.0836066024444661E-13,-253.94374999999997,-212.225,1.1100331994131083E-5
-1.0753347963189359E-13,-245.59999999999994,-212.225,1.700878038130023E-5
-1.2283632096412458E-13,-237.25625,-237.25624999999997,1.2521632165401069E-5
-1.2242273065784807E-13,-228.91249999999997,-237.2562499999999,1.752953154486115E-5
-1.4806532964699193E-13,-237.25625,-228.91249999999997,1.640518109068368E-5
-1.4889251025954496E-13,-228.9125,-228.91249999999997,2.3278249416722915E-5
-1.203547791264655E-13,-220.56874999999997,-253.94374999999997,1.2761643105188374E-5
-1.1828682759508293E-13,-212.22499999999994,-253.94374999999997,1.665709322009025E-5
-9.429858983104514E-14,-220.56874999999997,-245.59999999999994,1.7683055729398554E-5
-9.264422860593909E-14,-212.22499999999994,-245.59999999999994,2.3355246703563495E-5
-4.590852399669303E-14,-270.63124999999997,-187.19374999999997,5.324843089739292E-6
-6.203854594147706E-14,-262.28749999999997,-187.19374999999997,8.758698850032334E-6
-7.444625512977248E-14,-270.63124999999997,-178.85,5.586338136552639E-6
-1.0918784085699964E-13,-262.28749999999997,-178.85,9.31714432046906E-6
-1.236635015766776E-13,-187.19374999999997,-270.63124999999997,1.3853663450057907E-5
-1.2076836943274202E-13,-178.85,-270.63124999999997,1.6003204474307487E-5
-1.3317607862103743E-13,-187.19374999999994,-262.28749999999997,2.0874591181720585E-5
-1.290401755582723E-13,-178.84999999999997,-262.28749999999997,2.450982467952664E-5
-1.1580528575742385E-13,-203.88124999999994,-253.94374999999997,2.1505402502143647E-5
-1.1332374391976478E-13,-195.53749999999994,-253.94374999999997,2.6982338578858208E-5
-9.098986738083303E-14,-203.88124999999994,-245.59999999999988,3.0804988954752046E-5
-8.933550615572698E-14,-195.53749999999994,-245.59999999999988,3.919212945362016E-5
-6.121136532892404E-14,-253.94374999999997,-203.88124999999997,1.2483005238547533E-5
-6.038418471637101E-14,-245.59999999999994,-203.88124999999997,1.96363369380253E-5
-1.4062070413401469E-14,-253.94374999999997,-195.53749999999997,1.4697060940972412E-5
-1.3234889800848441E-14,-245.6,-195.53749999999997,2.363625924441695E-5
-1.2738581433316624E-13,-237.25624999999997,-220.56874999999997,2.0904389372592107E-5
-1.2738581433316624E-13,-228.91249999999994,-220.56875,3.051074649404374E-5
-1.0670629901934056E-13,-237.2562499999999,-212.225,2.6613933385142117E-5
-1.0587911840678753E-13,-228.91249999999994,-212.225,3.9528103363732475E-5
-1.2118195973901853E-13,-220.56874999999997,-237.25625,2.4944985525142895E-5
-1.19941188820189E-13,-212.22499999999994,-237.25624999999994,3.3668757647706445E-5
-1.4806532964699193E-13,-220.56874999999997,-228.91249999999997,3.3705300330838774E-5
-1.472381490344389E-13,-212.22499999999997,-228.91249999999997,4.6035722649789505E-5
-4.590852399669303E-14,-253.94374999999997,-187.19374999999997,1.5260520924898523E-5
-2.977850205190899E-14,-245.6,-187.19375,2.5013467627992768E-5
-7.775497757998459E-14,-253.94374999999997,-178.85000000000002,1.686331862567846E-5
-4.6322114302969543E-14,-245.59999999999994,-178.85000000000002,2.811207206962003E-5
-1.1042861177582918E-13,-187.19374999999994,-253.94374999999997,3.262901387243513E-5
-1.0753347963189359E-13,-178.84999999999997,-253.94374999999997,3.8804623666572565E-5
-8.768114493062092E-14,-187.19374999999994,-245.59999999999994,4.853306180773863E-5
