% Model,AuNP-7-30nm-inc.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 13:54"
% Dimension,3
% Nodes,36335
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-7.105427357601003E-15,-277.428125,-260.99843749999997,3.789286356959364E-7
0,-310.2875,-252.78359375000002,8.888374511462937E-8
-8.881784197001254E-16,-302.07265625,-252.78359375000002,1.2999439582600503E-7
-1.776356839400251E-15,-293.85781249999997,-252.78359375000002,2.124783429658387E-7
0,-310.2875,-244.56875000000002,9.110972254089202E-8
0,-302.07265625,-244.56875000000002,1.4982926325584576E-7
0,-293.85781249999997,-244.56875000000002,2.589257153894312E-7
1.7763568394002503E-15,-236.35390625000002,-302.07265625,3.5871102459075E-7
3.5527136788005005E-15,-236.35390625000002,-310.2875,2.732678050435165E-7
3.5527136788005005E-15,-228.13906250000005,-302.07265625,4.351964970910644E-7
7.105427357601001E-15,-228.13906250000005,-310.2875,3.152319886287978E-7
0,-236.35390625000002,-293.85781249999997,5.184074454564496E-7
0,-228.13906250000005,-293.85781249999997,6.513119284909418E-7
0,-252.78359375000002,-285.64296874999997,4.3740364604318124E-7
0,-244.56875000000002,-285.64296874999997,5.765018400920795E-7
0,-252.78359375000002,-277.428125,5.937508574746749E-7
0,-244.56875000000002,-277.428125,7.916250333085663E-7
-4.440892098500627E-15,-269.21328125,-269.21328125,4.182913815058114E-7
-5.329070518200752E-15,-260.99843749999997,-269.21328125,5.787133109642963E-7
-8.881784197001254E-15,-269.21328125,-260.99843749999997,5.465395545833535E-7
-1.0658141036401504E-14,-260.99843749999997,-260.99843749999997,7.638363781064182E-7
-2.664535259100376E-15,-285.64296874999997,-252.78359375000002,3.278505813874767E-7
-3.552713678800502E-15,-277.428125,-252.78359375000002,4.779800480340644E-7
0,-285.64296874999997,-244.56875000000002,4.0745168695996085E-7
0,-277.428125,-244.56875000000002,6.021031647107293E-7
-1.4210854715202002E-14,-310.2875,-236.35390625,9.044906085647943E-8
-1.3322676295501878E-14,-302.07265625,-236.35390625,1.664652039791396E-7
-1.2434497875801753E-14,-293.85781249999997,-236.35390625,3.0004250527533183E-7
-2.8421709430404004E-14,-310.2875,-228.1390625,8.700193616008055E-8
-2.6645352591003757E-14,-302.07265625,-228.1390625,1.880018657651237E-7
-2.4868995751603507E-14,-293.85781249999997,-228.13906249999997,3.5374031335342324E-7
4.440892098500625E-15,-219.92421875000002,-302.07265625,5.183551820580737E-7
8.88178419700125E-15,-219.92421875000002,-310.2875,3.520213860890544E-7
5.329070518200751E-15,-211.70937500000002,-302.07265625,6.041791952158806E-7
1.0658141036401503E-14,-211.70937500000005,-310.2875,3.773304094424606E-7
0,-219.92421875000002,-293.85781249999997,8.059698210321157E-7
0,-211.70937500000002,-293.85781249999997,9.797537890799274E-7
0,-236.35390625000002,-285.64296874999997,7.593770571884911E-7
0,-228.13906250000005,-285.64296874999997,9.720813925659658E-7
0,-236.35390625,-277.428125,1.0578250043686844E-6
0,-228.13906250000002,-277.428125,1.3696021969384773E-6
-6.2172489379008774E-15,-252.78359375000002,-269.21328125,8.117328527276443E-7
-7.105427357601001E-15,-244.56875000000002,-269.21328125,1.0985722801454379E-6
-1.2434497875801755E-14,-252.78359375000002,-260.99843749999997,1.0846534121029759E-6
-1.4210854715202002E-14,-244.56875000000002,-260.99843749999997,1.4827651531749846E-6
-4.440892098500627E-15,-269.21328125,-252.78359375000002,7.01415672332822E-7
-5.329070518200752E-15,-260.99843749999997,-252.78359375000002,9.976957491952622E-7
0,-269.21328125,-244.56875000000002,8.943394010285375E-7
0,-260.99843749999997,-244.56875000000002,1.2877973609751456E-6
-1.1546319456101626E-14,-285.64296874999997,-236.35390625,4.810481640426972E-7
-1.0658141036401503E-14,-277.428125,-236.35390625,7.231244675149987E-7
-2.3092638912203253E-14,-285.64296874999997,-228.1390625,5.766610673325041E-7
-2.1316282072803006E-14,-277.428125,-228.13906250000002,8.799846490852479E-7
-1.4210854715202002E-14,-310.2875,-219.92421874999994,8.086699013329511E-8
-1.3322676295501878E-14,-302.07265625,-219.92421874999994,1.9964007124472762E-7
-1.2434497875801753E-14,-293.85781249999997,-219.92421874999994,3.8609733940066144E-7
0,-310.2875,-211.7093749999999,7.591952114361306E-8
0,-302.07265625,-211.7093749999999,2.19554304390794E-7
0,-293.85781249999997,-211.7093749999999,4.352158657816333E-7
5.329070518200751E-15,-203.49453125000005,-302.07265625,6.876353256468908E-7
1.0658141036401503E-14,-203.49453125000005,-310.2875,3.8159118636683523E-7
5.329070518200751E-15,-195.27968750000005,-302.07265625,7.585385572727056E-7
1.0658141036401503E-14,-195.27968750000005,-310.2875,3.485174945649143E-7
0,-203.49453125000002,-293.85781249999997,1.1561370232024432E-6
0,-195.27968750000005,-293.85781249999997,1.3578796444348002E-6
0,-219.92421875000002,-285.64296874999997,1.2260380047131187E-6
0,-211.70937500000002,-285.64296874999997,1.5156438192248247E-6
0,-219.92421875,-277.428125,1.753043897602936E-6
0,-211.709375,-277.428125,2.1938217486033125E-6
-7.993605777301127E-15,-236.35390625000002,-269.21328125,1.4945528351565463E-6
-8.881784197001252E-15,-228.13906250000005,-269.21328125,1.9626542514980287E-6
-1.5987211554602254E-14,-236.35390625000002,-260.99843749999997,2.047426216577083E-6
-1.7763568394002505E-14,-228.13906250000005,-260.99843749999997,2.7171986858808797E-6
-6.2172489379008774E-15,-252.78359375000002,-252.78359375000002,1.4457523741117067E-6
-7.105427357601001E-15,-244.56875000000002,-252.78359375000002,2.0134028996514155E-6
0,-252.78359375000002,-244.56875000000002,1.891463492950741E-6
0,-244.56875000000002,-244.56875000000002,2.665733136710653E-6
-9.769962616701378E-15,-269.21328125,-236.35390625,1.0952722877600184E-6
-8.88178419700125E-15,-260.99843749999997,-236.35390625,1.6103076300865905E-6
-1.9539925233402755E-14,-269.21328125,-228.1390625,1.3516123422344293E-6
-1.77635683940025E-14,-260.99843749999997,-228.13906249999997,2.0182608009778478E-6
-1.1546319456101626E-14,-285.64296874999997,-219.92421874999997,6.399504091451811E-7
-1.0658141036401503E-14,-277.428125,-219.92421874999997,9.93661688029191E-7
0,-285.64296874999997,-211.70937499999994,7.332690784891534E-7
0,-277.428125,-211.70937499999997,1.1578782387420436E-6
-2.8421709430404004E-14,-310.2875,-203.4945312499999,7.773379235764103E-8
-2.753353101070388E-14,-302.07265625,-203.4945312499999,2.235346415356491E-7
-2.6645352591003757E-14,-293.85781249999997,-203.4945312499999,4.4232233720439976E-7
-5.684341886080801E-14,-310.2875,-195.27968749999985,9.36732178280991E-8
-5.506706202140776E-14,-302.07265625,-195.27968749999985,2.3865605952408485E-7
-5.3290705182007514E-14,-293.85781249999997,-195.27968749999985,4.691790944283318E-7
2.6645352591003757E-15,-187.06484375000005,-302.07265625,8.686247740584676E-7
5.329070518200751E-15,-187.06484375000002,-310.2875,2.823212693737946E-7
0,-178.85000000000005,-302.07265625,1.0046574184045063E-6
0,-178.85000000000005,-310.2875,4.1419041900847103E-7
0,-187.06484375000002,-293.85781249999997,1.5232387537003552E-6
0,-178.85000000000005,-293.85781249999997,1.7111896151464E-6
