% Model,Supported-Internal-m100.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 13:38"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
531.75,531.75,0.4629636000844256,1.5245883775891778E-4
532,532,0.46318654417866173,1.8662952345746458E-4
532.25,532.25,0.46341134946672907,1.709839110793497E-4
532.4999999999999,532.4999999999999,0.46319031336656735,1.4533140447482108E-4
532.7499999999999,532.7499999999999,0.463416382630861,1.6362457975096435E-4
533,533,0.46328711843647186,1.595114298048763E-4
533.25,533.25,0.463133318534127,1.444759363978446E-4
533.5,533.5,0.4630604330028211,1.4564589174222975E-4
533.75,533.75,0.46302544087621417,1.524983966713588E-4
533.9999999999999,533.9999999999999,0.4629504515162182,1.448526024544041E-4
534.25,534.25,0.462648399348269,1.696173801926447E-4
534.5,534.5,0.4623841482676927,1.673248546528079E-4
534.75,534.75,0.46244538823955234,1.633338561081988E-4
535,535,0.4620745550958984,1.492387845377046E-4
535.25,535.25,0.46191123706782816,1.986493869740998E-4
535.4999999999999,535.4999999999999,0.46177765281581334,1.7286125265940318E-4
535.75,535.75,0.4612999452605301,1.7445421120442281E-4
536,536,0.461056424259762,1.592162467944859E-4
536.25,536.25,0.4607207785570453,1.828147225873738E-4
536.5,536.5,0.46027338612894486,1.6753890226680438E-4
536.7499999999999,536.7499999999999,0.4600171043373522,1.9557804108625304E-4
536.9999999999999,536.9999999999999,0.4600999825275625,2.0019075264888359E-4
537.25,537.25,0.4591577368364053,1.84161284002271E-4
537.5,537.5,0.45881755076651815,2.2922564357708393E-4
537.75,537.75,0.4584941924123011,2.0328484715576416E-4
538,538,0.457798697643674,2.052420871433305E-4
538.2499999999999,538.2499999999999,0.4574131439866318,1.5180434450241305E-4
538.5,538.5,0.4567653624121943,1.560021931484989E-4
538.75,538.75,0.4562305741030785,2.188428147937617E-4
539,539,0.4556967246016519,1.6227090453706307E-4
539.25,539.25,0.4551046387632376,1.7335042024506727E-4
539.5,539.5,0.4545133240144059,1.7982048156497705E-4
539.7499999999999,539.7499999999999,0.4539847366391798,1.7694923279853008E-4
540,540,0.4533061593839921,1.410009186357034E-4
550,550,0.4165565199198245,2.068352460540116E-4
560,560,0.3683343990981165,1.73755038631177E-4
570,570,0.3151193498986839,1.8507270271589737E-4
580,580,0.2625697496637261,1.5335104078834956E-4
590,590,0.2141977791632716,1.5915839740371308E-4
600,600,0.17458796911659322,1.016116147945571E-4
610,610,0.1433366699336908,1.2665921196316763E-4
619.9999999999999,619.9999999999999,0.11922766932273843,8.54811125537087E-5
629.9999999999999,629.9999999999999,0.10053019001038377,7.801428180408282E-5
639.9999999999999,639.9999999999999,0.08585152129355669,7.933338609410824E-5
650,650,0.07420735541557634,7.962711760056828E-5
660,660,0.06494221722222215,5.230494433589196E-5
670,670,0.057589372017258875,4.4732775954407544E-5
680,680,0.05158862490518832,4.2915176102913934E-5
690,690,0.04672195961029282,4.3309590707569686E-5
700,700,0.04265592969359309,3.8446842182479304E-5
