Equivalent radius	Count
nm	Exp
1.03E-09	0
3.09E-09	0
5.15E-09	0
7.21E-09	26
9.27E-09	0
1.13E-08	24
1.34E-08	21
1.54E-08	35
1.75E-08	17
1.96E-08	47
2.16E-08	33
2.37E-08	75
2.57E-08	64
2.78E-08	87
2.99E-08	85
3.19E-08	87
3.40E-08	157
3.60E-08	104
3.81E-08	156
4.02E-08	154
4.22E-08	130
4.43E-08	128
4.63E-08	103
4.84E-08	143
5.05E-08	88
5.25E-08	98
5.46E-08	67
5.66E-08	66
5.87E-08	67
6.08E-08	47
6.28E-08	50
6.49E-08	36
6.69E-08	21
6.90E-08	25
7.11E-08	18
7.31E-08	13
7.52E-08	8
7.72E-08	11
7.93E-08	7
8.14E-08	5
8.34E-08	3
8.55E-08	4
8.75E-08	3
8.96E-08	1
9.17E-08	0
9.37E-08	1
