Equivalent radius	Count
nm	Exp
1.64E-09	0
4.93E-09	0
8.22E-09	13
1.15E-08	15
1.48E-08	33
1.81E-08	25
2.14E-08	30
2.46E-08	20
2.79E-08	38
3.12E-08	25
3.45E-08	32
3.78E-08	47
4.11E-08	48
4.44E-08	39
4.77E-08	51
5.09E-08	42
5.42E-08	55
5.75E-08	76
6.08E-08	63
6.41E-08	63
6.74E-08	67
7.07E-08	81
7.39E-08	88
7.72E-08	111
8.05E-08	125
8.38E-08	104
8.71E-08	94
9.04E-08	100
9.37E-08	80
9.69E-08	71
1.00E-07	81
1.04E-07	71
1.07E-07	66
1.10E-07	37
1.13E-07	37
1.17E-07	34
1.20E-07	14
1.23E-07	14
1.27E-07	11
1.30E-07	19
1.33E-07	12
1.36E-07	11
1.40E-07	5
1.43E-07	3
