Equivalent radius	Count
nm	Exp
1.26E-10	0
3.78E-10	0
6.31E-10	11
8.83E-10	4
1.14E-09	21
1.39E-09	11
1.64E-09	15
1.89E-09	12
2.14E-09	18
2.40E-09	14
2.65E-09	22
2.90E-09	36
3.15E-09	28
3.41E-09	41
3.66E-09	48
3.91E-09	70
4.16E-09	88
4.41E-09	92
4.67E-09	99
4.92E-09	104
5.17E-09	126
5.42E-09	128
5.68E-09	130
5.93E-09	130
6.18E-09	125
6.43E-09	111
6.68E-09	112
6.94E-09	83
7.19E-09	91
7.44E-09	108
7.69E-09	68
7.95E-09	69
8.20E-09	49
8.45E-09	41
8.70E-09	30
8.95E-09	27
9.21E-09	27
9.46E-09	10
9.71E-09	11
9.96E-09	7
1.02E-08	2
1.05E-08	4
1.07E-08	2
1.10E-08	0
1.12E-08	0
1.15E-08	1
