Equivalent radius	Count
nm	Exp
1.41E-09	10
4.24E-09	13
7.07E-09	17
9.90E-09	9
1.27E-08	5
1.56E-08	9
1.84E-08	12
2.12E-08	18
2.40E-08	17
2.69E-08	24
2.97E-08	28
3.25E-08	19
3.54E-08	24
3.82E-08	25
4.10E-08	23
4.38E-08	30
4.67E-08	27
4.95E-08	27
5.23E-08	24
5.52E-08	14
5.80E-08	13
6.08E-08	5
6.37E-08	11
6.65E-08	4
6.93E-08	5
7.21E-08	3
