% Model,Supported-Internal-m075.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:04"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,529.5,529.5,1.3658456309695597,3.1142004564625297E-4
1.13271868454432,529.7499999999999,529.7499999999999,1.3668075857485082,4.098386244873896E-4
1.13271868454432,530,530,1.3677472374878619,4.031220406869399E-4
1.13271868454432,530.25,530.25,1.3678741090501096,3.202926310010149E-4
1.13271868454432,530.5,530.5,1.3682673824912939,3.409407812401454E-4
1.13271868454432,530.75,530.75,1.3687951895683526,3.8924258026907296E-4
1.13271868454432,531,531,1.3691585563737985,3.234393775106477E-4
1.13271868454432,531.2499999999999,531.2499999999999,1.3694400434776541,4.139012501660767E-4
1.13271868454432,531.5,531.5,1.3697181529116087,3.6241727535361775E-4
1.13271868454432,531.75,531.75,1.3698262490864905,3.6275007065757133E-4
1.13271868454432,532,532,1.3701191138505684,3.497836818210067E-4
1.13271868454432,532.25,532.25,1.3696991405673073,3.97873260233186E-4
1.13271868454432,532.4999999999999,532.4999999999999,1.3695064656343618,4.154205481231019E-4
1.13271868454432,532.7499999999999,532.7499999999999,1.3693847994039048,3.5322770707781645E-4
1.13271868454432,533,533,1.369342440871618,3.6924042520593124E-4
1.13271868454432,533.25,533.25,1.3690057466518186,3.7304163573132816E-4
1.13271868454432,533.5,533.5,1.3682923547099077,4.189994481871918E-4
1.13271868454432,533.75,533.75,1.367893582378467,3.536563999583645E-4
1.13271868454432,533.9999999999999,533.9999999999999,1.367554817402154,4.111378111520215E-4
1.13271868454432,534.25,534.25,1.3668894778953629,3.651489843935101E-4
1.13271868454432,534.5,534.5,1.3662565965042124,3.3972369460821486E-4
1.13271868454432,534.75,534.75,1.3651805105432206,4.010445115947309E-4
1.13271868454432,535,535,1.3645968950178842,3.8287029452054955E-4
1.13271868454432,535.25,535.25,1.3633193391289646,4.120400203875708E-4
1.13271868454432,535.4999999999999,535.4999999999999,1.3623033508606628,3.965790180534126E-4
1.13271868454432,535.75,535.75,1.3614694311533828,4.153982399612801E-4
1.13271868454432,536,536,1.3605115857404717,3.5419798511824446E-4
1.13271868454432,536.25,536.25,1.3594369015622423,4.172422797419639E-4
1.13271868454432,536.5,536.5,1.3575488959958435,3.758150951238381E-4
1.13271868454432,536.7499999999999,536.7499999999999,1.3565061023623897,4.0934822753065634E-4
