% Model,Supported-Internal-m100.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:07"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,450,450,0.8663902322077635,2.8817370135537034E-4
1.13271868454432,460,460,0.8538597073006173,2.5718347158984646E-4
1.13271868454432,470,470,0.843687903460422,2.110436433812423E-4
1.13271868454432,480,480,0.8546550832770388,2.150344339260091E-4
1.13271868454432,490,490,0.8995365435716463,2.6130755277376064E-4
1.13271868454432,500,500,0.993628882990173,2.2873069018479342E-4
1.13271868454432,509.99999999999994,509.99999999999994,1.1449609362915616,2.879142406244908E-4
1.13271868454432,519.9999999999999,519.9999999999999,1.3169842669339724,3.7167817885645744E-4
1.13271868454432,520.25,520.25,1.3207174196067013,5.404145313605265E-4
1.13271868454432,520.5,520.5,1.3246104135832544,4.1638797069197894E-4
1.13271868454432,520.75,520.75,1.3282287189017412,3.8137052568199773E-4
1.13271868454432,521,521,1.3319383840789467,4.0360358562034236E-4
1.13271868454432,521.2499999999999,521.2499999999999,1.3355104521416679,4.879763063142099E-4
1.13271868454432,521.4999999999999,521.4999999999999,1.3390518325956544,4.509262384978673E-4
1.13271868454432,521.75,521.75,1.3424229922125404,3.8816576253241974E-4
1.13271868454432,522,522,1.3460244027477701,3.9267640355328113E-4
1.13271868454432,522.25,522.25,1.3492745340093657,4.3036615389815936E-4
1.13271868454432,522.5,522.5,1.3524410972145173,4.081682601198087E-4
1.13271868454432,522.7499999999999,522.7499999999999,1.3555598388575274,4.932082721848652E-4
1.13271868454432,523,523,1.3587947513402383,4.476066041483375E-4
1.13271868454432,523.25,523.25,1.361630129054998,4.0318129959402636E-4
1.13271868454432,523.5,523.5,1.3646555953852137,3.733071538503791E-4
1.13271868454432,523.75,523.75,1.3676177058171528,4.004325892797767E-4
1.13271868454432,523.9999999999999,523.9999999999999,1.3705586425155167,4.559358974669693E-4
1.13271868454432,524.2499999999999,524.2499999999999,1.3738260310211254,3.5610435961276957E-4
1.13271868454432,524.5,524.5,1.37574209893575,4.67237564614797E-4
1.13271868454432,524.75,524.75,1.3783527104160127,3.9860653004717203E-4
1.13271868454432,525,525,1.3810101359217066,4.760547963035607E-4
1.13271868454432,525.25,525.25,1.3832826073522624,4.179151324125431E-4
1.13271868454432,525.4999999999999,525.4999999999999,1.3855591570629922,4.674162990956365E-4
1.13271868454432,525.75,525.75,1.3880715038707305,4.2938060637827126E-4
1.13271868454432,526,526,1.3903340935211213,3.934262528995954E-4
1.13271868454432,526.25,526.25,1.3922841918735538,4.347930656669282E-4
1.13271868454432,526.5,526.5,1.3943265878393654,4.566010412056738E-4
1.13271868454432,526.75,526.75,1.3963486007446513,4.371059708300257E-4
1.13271868454432,526.9999999999999,526.9999999999999,1.398532049557925,4.6445498687330264E-4
1.13271868454432,527.25,527.25,1.4002478474140458,4.5772089120022056E-4
1.13271868454432,527.5,527.5,1.4017246718013014,4.299236063289085E-4
1.13271868454432,527.75,527.75,1.4032206050533467,4.2337090154209646E-4
1.13271868454432,528,528,1.405219583647528,4.4539437774860735E-4
1.13271868454432,528.2499999999999,528.2499999999999,1.4062561015912713,4.5753817046971653E-4
1.13271868454432,528.4999999999999,528.4999999999999,1.4077041549092404,4.2503547691471295E-4
1.13271868454432,528.75,528.75,1.409326576681457,4.446554225985451E-4
1.13271868454432,529,529,1.410884797620857,4.90929875596256E-4
1.13271868454432,529.25,529.25,1.4114985055848803,4.21399438329608E-4
1.13271868454432,529.5,529.5,1.4127356594358533,5.579689651289562E-4
1.13271868454432,529.7499999999999,529.7499999999999,1.4134003245630098,4.0656013516200196E-4
1.13271868454432,530,530,1.414470732346654,4.7079124851636474E-4
1.13271868454432,530.25,530.25,1.4152778092544298,4.679022032131538E-4
1.13271868454432,530.5,530.5,1.4158001881357236,5.06771390662523E-4
1.13271868454432,530.75,530.75,1.4167889822454691,3.8131626061241206E-4
1.13271868454432,531,531,1.4174534777770782,4.2400915829517795E-4
1.13271868454432,531.2499999999999,531.2499999999999,1.4176394700757182,3.7255651708211325E-4
1.13271868454432,531.5,531.5,1.4179546846030278,4.321339475756786E-4
1.13271868454432,531.75,531.75,1.4183227694632847,4.8040412249450974E-4
1.13271868454432,532,532,1.4189914044987622,5.224271363104299E-4
1.13271868454432,532.25,532.25,1.4196611137475394,5.16809767698422E-4
1.13271868454432,532.4999999999999,532.4999999999999,1.4189733526969728,4.2765489621828087E-4
1.13271868454432,532.7499999999999,532.7499999999999,1.4196458037336372,4.8609936907419095E-4
1.13271868454432,533,533,1.4192397484643309,4.6081536538916543E-4
1.13271868454432,533.25,533.25,1.418755979257206,4.4408308771141215E-4
1.13271868454432,533.5,533.5,1.4185212430902376,4.383285296230485E-4
1.13271868454432,533.75,533.75,1.4183991127644542,4.682088551308262E-4
1.13271868454432,533.9999999999999,533.9999999999999,1.418158419503297,4.4639314553278776E-4
1.13271868454432,534.25,534.25,1.4172176993245915,5.064900359837981E-4
1.13271868454432,534.5,534.5,1.4163914941661726,4.6747732654349894E-4
1.13271868454432,534.75,534.75,1.41656754342452,4.809319154022281E-4
1.13271868454432,535,535,1.4154186297892188,4.5218055761237386E-4
1.13271868454432,535.25,535.25,1.4149024358690114,6.023681532617606E-4
1.13271868454432,535.4999999999999,535.4999999999999,1.4144774144092351,5.164813448812886E-4
1.13271868454432,535.75,535.75,1.4130008879360456,5.015647491966078E-4
1.13271868454432,536,536,1.412240012003762,5.067176119019804E-4
1.13271868454432,536.25,536.25,1.411199526048418,5.154901276249835E-4
1.13271868454432,536.5,536.5,1.4098137367012336,4.717634644711102E-4
1.13271868454432,536.7499999999999,536.7499999999999,1.4090176629235487,5.424522758991365E-4
1.13271868454432,536.9999999999999,536.9999999999999,1.409243672458265,5.907867106202759E-4
1.13271868454432,537.25,537.25,1.4063583159367101,5.504227319952573E-4
1.13271868454432,537.5,537.5,1.4053004970554928,7.380863951978927E-4
1.13271868454432,537.75,537.75,1.4042969390712283,5.939544435128173E-4
